,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.25,0.86,0.9,0.81,0.62,0.41,0.44,0.41,0.37,0.42,0.34,0.3,0.3,0.25,0.3
e_1,0.8,1.0,0.93,1.11,0.95,0.69,0.5,0.46,0.57,0.42,0.39,0.43,0.36,0.35,0.34,0.32
d_1,1.19,1.06,1.0,0.94,0.92,0.68,0.51,0.36,0.45,0.54,0.46,0.37,0.36,0.36,0.35,0.28
c_1,1.09,0.9,1.07,1.0,1.21,0.71,0.53,0.49,0.34,0.37,0.35,0.36,0.38,0.34,0.34,0.28
b_1,1.21,1.06,1.13,0.83,1.0,1.2,0.54,0.47,0.46,0.51,0.45,0.44,0.43,0.31,0.34,0.34
a_1,1.61,1.41,1.43,1.38,0.84,1.0,0.79,0.67,0.61,0.58,0.62,0.54,0.51,0.47,0.41,0.43
h_1,2.51,2.03,1.96,1.86,1.86,1.3,1.0,0.99,0.82,0.81,0.85,0.71,0.65,0.57,0.62,0.67
g_1,2.32,2.16,2.79,2.08,2.08,1.49,1.0,1.0,0.85,0.93,0.93,0.98,0.73,0.8,0.78,0.67
d_0,2.4,1.8,2.23,2.92,2.17,1.64,1.23,1.13,1.0,0.82,0.87,0.92,0.86,0.71,0.78,0.77
c_0,2.6,2.54,1.9,2.87,1.89,1.56,1.25,1.06,1.19,1.0,1.33,0.89,0.95,0.94,0.74,0.82
b_0,2.51,2.61,2.04,2.78,2.1,1.62,1.21,1.09,1.2,0.78,1.0,0.86,0.82,1.13,0.7,0.73
f_0,3.06,2.22,2.75,2.68,2.3,1.97,1.36,1.05,1.05,1.08,1.12,1.0,0.94,0.98,1.27,0.7
h_0,3.39,2.85,2.68,2.57,2.31,1.87,1.54,1.37,1.14,1.03,1.25,1.05,1.0,0.84,0.85,1.02
a_0,3.29,3.08,2.71,3.16,3.14,2.08,1.81,1.33,1.42,1.07,0.96,1.12,1.15,1.0,0.95,0.98
e_0,3.99,2.97,2.84,2.92,2.81,2.44,1.59,1.34,1.22,1.28,1.41,0.86,1.2,1.0,1.0,0.95
g_0,3.38,3.1,3.58,3.45,2.91,2.35,1.49,1.51,1.32,1.26,1.46,1.46,1.0,0.99,1.08,1.0
