,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
e_1,24.17,0.38,0.37,0.26,0.27,0.34,0.6,1.55,0.83,0.61,0.83,0.86,0.89,0.97,0.18,0.98
f_1,0.71,25.58,0.38,0.23,0.3,0.31,0.58,0.88,0.76,0.53,0.76,0.19,0.8,0.93,0.49,0.58
c_1,0.33,0.34,26.33,0.33,0.75,0.22,0.76,0.61,0.12,0.8,0.7,0.66,0.69,0.77,1.1,0.83
d_1,0.27,0.49,0.26,29.07,0.32,0.31,0.84,0.18,1.66,0.85,0.76,0.87,0.7,0.94,0.56,0.84
b_1,0.33,0.26,0.37,0.34,30.4,0.76,0.93,0.94,0.74,0.58,0.14,0.73,0.69,0.75,0.62,0.84
a_1,0.29,0.41,0.28,0.4,0.27,48.55,0.83,0.53,0.77,0.56,0.82,0.96,0.27,1.07,1.16,0.75
h_1,0.5,0.73,0.52,0.85,0.66,0.76,9.44,0.97,1.14,1.96,1.47,1.59,1.23,0.61,1.5,2.46
d_0,0.67,0.54,1.72,0.15,0.58,0.58,1.11,4.98,1.23,0.97,1.8,1.54,1.39,1.8,1.61,1.41
c_0,0.52,0.7,0.2,0.81,0.69,0.78,1.24,1.57,5.29,1.69,3.2,1.89,1.54,1.52,2.15,2.0
g_1,0.53,0.44,0.56,1.49,0.55,0.53,1.34,1.24,1.4,12.4,1.68,2.44,1.26,1.5,1.27,0.68
b_0,0.57,0.61,0.58,0.9,0.23,0.87,1.51,1.67,1.34,1.9,6.27,1.41,3.85,1.53,1.91,1.75
f_0,0.56,0.18,0.9,0.95,0.52,0.52,1.6,1.69,1.83,1.53,2.2,7.32,1.81,1.29,4.32,1.67
a_0,0.78,0.85,0.76,0.56,0.67,,1.36,1.73,1.74,1.79,1.54,1.52,8.8,1.5,1.49,1.87
h_0,0.52,0.99,0.68,0.72,0.55,0.63,0.66,1.15,1.43,1.59,1.73,1.71,1.36,0.57,1.8,2.2
e_0,0.21,0.55,0.99,0.92,0.83,0.67,0.99,1.79,1.38,1.4,1.88,1.88,1.82,2.08,10.8,1.83
g_0,0.41,0.49,0.61,1.32,0.57,0.73,1.22,1.35,1.57,0.65,1.72,2.54,1.19,1.87,1.76,0.73
