,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.42,0.64,0.56,0.63,0.6,0.52,0.26,0.35,0.25,0.26,0.25,0.3,0.17,0.22,0.21,0.24
e_1,0.45,0.41,0.59,0.67,0.65,0.59,0.33,0.33,0.25,0.33,0.28,0.31,0.22,0.28,0.33,0.25
d_1,0.63,0.66,0.38,0.57,0.59,0.51,0.33,0.23,0.28,0.33,0.26,0.25,0.22,0.26,0.24,0.16
c_1,0.59,0.49,0.68,0.38,0.63,0.61,0.31,0.35,0.29,0.18,0.26,0.28,0.24,0.25,0.27,0.22
b_1,0.62,0.55,0.65,0.41,0.36,0.73,0.36,0.34,0.35,0.26,0.38,0.3,0.24,0.24,0.31,0.23
a_1,0.69,0.66,0.63,0.53,0.38,0.3,0.36,0.34,0.32,0.3,0.32,0.26,0.25,0.35,0.33,0.27
h_1,0.62,0.6,0.54,0.59,0.53,0.46,0.22,0.35,0.25,0.25,0.24,0.24,0.29,0.24,0.24,0.23
g_1,0.59,0.65,0.56,0.53,0.53,0.47,0.24,0.21,0.28,0.27,0.26,0.29,0.19,0.28,0.24,0.23
c_0,0.65,0.65,0.4,0.66,0.56,0.49,0.3,0.26,0.22,0.35,0.31,0.28,0.25,0.27,0.29,0.2
d_0,0.58,0.41,0.6,0.74,0.62,0.54,0.33,0.41,0.25,0.22,0.28,0.25,0.25,0.26,0.25,0.22
b_0,0.65,0.62,0.52,0.63,0.56,0.46,0.31,0.25,0.17,0.26,0.21,0.24,0.23,0.29,0.25,0.21
f_0,0.63,0.56,0.53,0.58,0.56,0.52,0.3,0.21,0.24,0.31,0.27,0.19,0.24,0.29,0.29,0.17
h_0,0.66,0.55,0.56,0.54,0.54,0.53,0.29,0.31,0.23,0.24,0.26,0.24,0.23,0.23,0.26,0.21
a_0,0.62,0.53,0.52,0.65,0.71,0.57,0.29,0.27,0.21,0.25,0.18,0.28,0.22,0.19,0.21,0.18
e_0,0.75,0.59,0.6,0.5,0.59,0.44,0.28,0.27,0.24,0.27,0.25,0.15,0.22,0.33,0.17,0.17
g_0,0.56,0.53,0.61,0.63,0.58,0.51,0.27,0.3,0.25,0.26,0.25,0.27,0.19,0.24,0.29,0.23
