,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.27,0.96,1.34,1.37,2.54,13.3,22.97,30.97,28.62,33.25,39.36,46.67,62.63,84.41,104.22
e_1,0.79,1.0,1.01,1.71,1.35,2.68,16.87,25.43,26.52,35.86,36.75,55.89,61.25,72.35,101.11,99.23
d_1,1.03,0.99,1.0,1.08,1.24,2.62,14.98,33.34,20.48,28.9,39.1,45.72,57.7,74.17,93.95,73.33
c_1,0.74,0.59,0.92,1.0,1.67,1.61,11.14,14.33,20.25,13.17,22.18,30.57,42.78,52.34,58.09,68.75
b_1,0.73,0.73,0.82,0.59,1.0,3.02,13.8,20.15,19.3,21.27,25.25,32.21,45.78,45.41,58.37,72.55
a_1,0.39,0.37,0.38,0.62,0.34,1.0,6.53,9.33,10.11,12.72,15.95,19.51,26.6,36.78,31.17,36.34
h_1,0.07,0.06,0.07,0.09,0.07,0.15,1.0,1.58,2.03,1.56,2.23,2.62,3.67,4.77,5.22,6.49
c_0,0.04,0.04,0.03,0.08,0.05,0.1,0.61,1.0,1.11,1.21,1.93,1.75,2.38,3.35,3.17,3.47
g_1,0.03,0.04,0.05,0.05,0.05,0.1,0.49,0.93,1.0,0.95,1.24,2.07,1.86,2.44,2.64,3.01
d_0,0.03,0.03,0.04,0.07,0.05,0.08,0.66,0.85,1.06,1.0,1.35,1.47,2.24,2.75,3.17,2.95
b_0,0.03,0.03,0.03,0.04,0.04,0.06,0.45,0.54,0.82,0.74,1.0,1.22,1.77,2.95,2.37,2.15
f_0,0.02,0.02,0.02,0.03,0.03,0.05,0.4,0.57,0.47,0.65,0.8,1.0,1.42,1.81,2.9,1.54
h_0,0.02,0.02,0.02,0.02,0.02,0.04,0.28,0.42,0.55,0.45,0.57,0.73,1.0,1.1,1.56,1.86
a_0,0.02,0.01,0.01,0.02,0.02,0.03,0.21,0.31,0.43,0.38,0.37,0.59,0.9,1.0,1.24,1.29
e_0,0.01,0.01,0.01,0.02,0.02,0.03,0.2,0.3,0.39,0.32,0.44,0.36,0.68,0.79,1.0,1.03
g_0,0.01,0.01,0.01,0.01,0.01,0.03,0.15,0.28,0.33,0.32,0.45,0.68,0.56,0.8,1.0,1.0
