,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.8,0.86,1.09,0.9,0.68,0.48,0.56,0.4,0.47,0.41,0.46,0.37,0.32,0.34,0.31
f_1,1.26,1.0,0.89,0.96,0.79,0.62,0.43,0.44,0.4,0.45,0.42,0.37,0.28,0.29,0.25,0.35
d_1,1.15,1.12,1.0,0.82,0.9,0.77,0.5,0.41,0.58,0.36,0.44,0.41,0.36,0.34,0.32,0.27
c_1,0.92,1.03,1.23,1.0,1.29,0.81,0.53,0.36,0.42,0.44,0.39,0.39,0.36,0.31,0.35,0.35
b_1,1.12,1.25,1.12,0.79,1.0,1.29,0.6,0.51,0.56,0.63,0.52,0.5,0.4,0.37,0.36,0.35
a_1,1.45,1.63,1.27,1.24,0.78,1.0,0.76,0.65,0.54,0.49,0.59,0.5,0.5,0.49,0.46,0.48
h_1,2.05,2.28,1.98,1.9,1.65,1.28,1.0,0.9,0.88,1.04,0.83,0.81,0.68,0.66,0.55,0.74
d_0,1.81,2.24,2.24,2.79,2.08,1.55,1.1,1.0,0.86,1.05,0.84,0.9,0.82,0.73,0.74,0.8
c_0,2.54,2.63,1.7,2.39,1.86,1.82,1.2,1.11,1.0,1.02,1.21,0.89,0.78,0.84,0.71,0.73
g_1,2.11,2.25,2.85,2.23,1.59,1.99,0.98,0.94,0.93,1.0,0.9,1.04,0.65,0.63,0.8,0.73
b_0,2.45,2.44,2.21,2.6,1.94,1.66,1.26,1.09,0.81,1.14,1.0,0.93,0.84,1.12,0.72,0.75
f_0,2.18,2.68,2.47,2.59,1.93,2.03,1.2,1.12,1.1,0.93,1.02,1.0,0.9,0.76,1.07,0.62
h_0,2.84,3.45,2.72,2.78,2.55,2.01,1.56,1.21,1.25,1.56,1.17,1.11,1.0,0.89,0.95,1.02
a_0,3.19,3.26,3.03,2.94,2.81,1.83,1.54,1.29,1.2,1.61,0.91,1.29,1.18,1.0,0.88,0.91
e_0,3.12,4.07,3.1,2.78,2.53,2.16,1.85,1.41,1.45,1.24,1.47,0.94,1.06,1.05,1.0,0.96
g_0,3.19,2.86,3.59,2.89,2.82,2.05,1.36,1.28,1.36,1.34,1.3,1.52,0.96,1.11,1.11,1.0
