,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.06,2.43,2.28,1.83,1.83,1.5,0.59,0.88,0.65,0.54,0.6,0.78,0.41,0.57,0.48,0.5
e_1,1.44,1.06,2.58,2.35,2.65,1.89,0.93,0.85,0.94,0.72,0.69,0.83,0.6,0.61,0.6,1.11
c_1,2.42,1.99,1.06,2.68,2.44,1.85,1.08,0.85,0.43,0.87,0.68,0.65,0.49,0.53,0.53,0.55
d_1,2.72,2.65,2.44,1.06,2.28,2.26,0.81,0.58,1.02,0.72,0.58,0.62,0.5,0.66,0.36,0.54
b_1,3.71,2.6,1.61,3.0,1.06,2.98,1.18,1.17,0.95,1.08,1.47,0.82,0.75,0.79,0.68,0.6
a_1,4.04,4.02,4.3,3.52,2.06,1.07,1.51,1.55,1.37,1.14,1.04,1.35,1.15,1.82,0.92,0.93
h_1,6.74,5.82,5.85,5.91,5.25,5.01,1.34,2.47,1.81,2.0,1.86,1.52,2.18,1.53,1.45,1.72
g_1,7.1,7.94,6.84,7.33,6.47,5.72,2.18,1.36,2.14,1.93,1.79,2.03,1.25,1.72,1.8,2.11
d_0,7.31,4.27,8.13,11.0,6.56,5.11,3.11,2.85,1.52,1.8,2.16,2.06,1.81,2.16,1.63,1.91
c_0,9.33,7.2,14.64,5.04,7.06,6.38,2.76,3.04,3.1,1.59,2.63,2.22,1.96,2.67,1.83,2.31
b_0,8.91,8.05,11.93,7.42,11.47,8.05,3.07,2.78,2.38,1.3,1.54,2.13,1.85,2.26,1.45,1.81
f_0,12.47,7.63,8.79,7.33,7.73,7.94,3.65,2.24,2.64,2.2,2.38,1.5,2.21,2.11,1.29,2.4
h_0,10.86,8.65,8.86,9.36,7.94,6.32,4.13,3.46,2.4,2.38,2.31,2.15,2.85,2.27,1.97,1.9
a_0,10.96,9.29,12.11,9.41,14.61,15.24,3.77,3.62,2.61,2.21,1.8,2.51,2.23,1.59,2.03,2.96
g_0,12.54,12.04,11.85,10.49,9.54,9.56,3.45,5.07,3.44,2.76,3.25,3.32,2.39,3.01,3.35,2.81
e_0,18.22,11.27,12.18,11.37,12.8,12.95,4.84,3.44,3.3,2.94,3.17,1.84,2.87,2.45,2.31,1.58
