,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.22,0.87,0.88,0.82,0.61,0.42,0.42,0.42,0.37,0.42,0.34,0.3,0.29,0.25,0.31
e_1,0.83,1.0,0.9,1.11,0.92,0.71,0.49,0.47,0.54,0.42,0.39,0.42,0.35,0.34,0.32,0.32
d_1,1.15,1.09,1.0,0.95,0.91,0.68,0.5,0.37,0.45,0.53,0.46,0.38,0.36,0.37,0.35,0.28
c_1,1.1,0.91,1.09,1.0,1.2,0.72,0.54,0.48,0.35,0.38,0.34,0.36,0.38,0.34,0.35,0.28
b_1,1.18,1.09,1.13,0.85,1.0,1.16,0.56,0.46,0.44,0.52,0.47,0.44,0.42,0.32,0.35,0.34
a_1,1.6,1.35,1.41,1.36,0.91,1.0,0.77,0.65,0.6,0.61,0.61,0.51,0.53,0.48,0.43,0.44
h_1,2.43,2.02,1.97,1.85,1.75,1.35,1.0,0.99,0.82,0.79,0.85,0.76,0.69,0.61,0.62,0.68
g_1,2.4,2.12,2.68,2.08,2.08,1.55,1.03,1.0,0.89,0.92,0.9,0.97,0.73,0.75,0.8,0.7
d_0,2.33,1.91,2.19,2.9,2.26,1.65,1.21,1.09,1.0,0.8,0.9,0.94,0.87,0.71,0.79,0.7
c_0,2.56,2.55,1.97,2.69,1.84,1.57,1.27,1.06,1.23,1.0,1.33,0.96,0.93,0.97,0.77,0.81
b_0,2.48,2.54,2.16,2.8,2.1,1.61,1.24,1.11,1.2,0.79,1.0,0.85,0.87,1.06,0.73,0.72
f_0,2.91,2.28,2.75,2.72,2.33,2.05,1.32,1.08,1.04,1.03,1.16,1.0,1.01,0.95,1.18,0.7
h_0,3.35,2.89,2.71,2.63,2.39,1.86,1.46,1.39,1.13,1.07,1.17,1.01,1.0,0.88,0.82,0.94
a_0,3.25,3.03,2.72,3.03,2.94,2.08,1.71,1.42,1.41,1.09,0.98,1.09,1.08,1.01,0.88,0.94
e_0,3.82,3.06,2.87,3.0,2.86,2.31,1.54,1.31,1.28,1.26,1.4,0.89,1.18,1.06,1.0,0.9
g_0,3.44,3.26,3.55,3.46,2.92,2.19,1.46,1.5,1.39,1.23,1.44,1.46,1.06,1.02,1.11,1.0
