,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
e_1,2.44,1.12,1.48,1.05,1.2,1.11,2.24,4.2,2.65,2.27,2.97,3.12,2.98,3.56,2.32,3.67
f_1,1.87,2.49,1.24,0.95,1.15,1.16,2.08,2.84,2.63,2.16,2.64,1.64,2.58,3.05,1.96,3.12
c_1,1.11,1.19,2.54,1.32,1.93,1.01,2.49,2.03,1.54,2.55,2.31,2.5,2.45,2.96,2.84,3.04
d_1,1.15,1.59,1.03,2.59,1.19,1.09,2.48,1.78,4.08,2.28,2.61,2.63,2.69,3.21,2.46,2.76
b_1,1.21,1.18,1.1,1.27,2.7,2.12,2.63,2.83,2.59,2.11,1.74,2.6,2.35,3.09,2.36,3.62
a_1,1.2,1.34,1.33,1.43,0.99,3.3,2.55,2.22,2.59,2.35,2.62,3.2,2.42,3.94,3.41,3.49
h_1,1.27,1.62,1.16,1.59,1.25,1.39,4.03,2.62,2.87,3.35,2.98,2.64,2.76,3.08,3.35,4.87
d_0,1.13,1.32,2.38,1.01,1.3,1.32,2.38,3.91,2.4,2.52,3.17,2.72,3.04,4.06,3.31,3.34
c_0,1.32,1.4,1.21,1.3,1.24,1.46,2.64,3.15,3.97,2.83,5.16,3.19,3.46,3.99,3.76,3.98
g_1,1.23,1.26,1.31,1.97,1.31,1.17,2.42,2.49,2.99,4.51,2.99,4.06,2.76,3.56,3.29,2.9
b_0,1.29,1.38,1.4,1.6,1.04,1.46,2.72,2.7,2.44,3.06,4.27,2.62,5.54,3.46,3.37,3.81
f_0,1.06,1.12,1.46,1.52,1.39,1.21,2.87,3.25,3.18,2.31,3.94,4.54,3.28,3.64,5.95,3.43
a_0,1.4,1.45,1.62,1.28,1.4,0.72,2.87,3.29,3.02,3.13,2.66,3.02,4.89,3.94,3.04,4.21
h_0,1.26,1.67,1.5,1.47,1.17,1.35,1.9,2.8,2.55,3.2,3.4,2.99,2.78,3.14,3.11,4.33
e_0,0.83,1.43,1.71,1.58,1.62,1.35,2.41,3.05,2.46,2.73,3.05,2.53,3.21,4.56,5.31,3.81
g_0,1.2,1.16,1.36,2.07,1.22,1.31,2.41,2.76,3.08,2.21,3.15,3.66,2.82,3.78,3.13,3.06
