,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
f_1,100.59,79.45,51.87,86.08,122.99,360.82,8023.79,11972.93,18077.88,21811.3,20378.23,39422.57,91512.93,99441.48,82976.0,266734.07
e_1,46.4,104.18,52.24,96.71,155.02,355.26,8365.39,13396.8,30265.64,24853.38,38337.7,40839.42,115218.2,102162.95,82867.98,297525.77
d_1,54.6,50.76,111.62,75.82,116.57,359.82,8224.16,11690.01,13648.4,37132.74,32192.06,37236.21,115246.09,96500.2,113333.78,251687.5
c_1,42.43,41.75,49.84,157.5,182.29,291.65,6922.41,10447.05,12366.0,8562.06,27258.32,22368.74,80943.34,78155.47,89088.62,211319.98
b_1,38.75,36.4,42.74,55.26,225.83,514.31,7430.83,9086.01,15046.97,15069.47,20944.34,17029.22,82925.33,50184.72,71764.54,181847.94
a_1,29.75,26.94,31.52,42.91,57.11,560.33,4838.73,6623.75,7431.56,13121.82,16855.57,20024.91,61586.08,28205.89,49748.02,140461.54
h_1,16.27,11.69,15.26,23.14,30.5,103.37,3413.78,3753.72,4709.73,4582.49,6778.68,8503.35,19728.18,22365.94,23374.08,84475.51
g_1,11.25,10.71,16.41,20.09,27.22,84.46,1843.41,4563.54,3621.87,5207.47,9073.33,7393.71,18669.41,23184.83,22509.11,44910.16
d_0,9.92,8.98,7.57,31.03,29.11,98.34,1723.27,2847.42,5258.08,3408.85,7109.11,6359.41,20357.02,21083.21,16614.48,56111.14
c_0,10.76,10.01,10.38,15.84,21.3,68.32,1880.76,2326.18,3607.26,6295.57,5688.64,12567.48,21259.45,23263.66,21416.89,53831.49
f_0,6.99,7.14,10.83,16.42,26.22,72.61,1680.97,1997.16,3063.32,4575.24,8059.08,5340.64,19053.8,14745.37,30200.01,49261.02
b_0,8.84,7.15,10.17,18.12,17.43,50.04,1460.09,2117.35,3382.6,3215.34,5953.39,9024.17,19582.88,29981.08,15706.3,49647.6
h_0,8.3,6.2,7.15,10.42,13.47,44.22,888.2,2137.41,2175.09,2727.86,3594.43,4706.69,10472.23,11994.23,10063.06,43879.85
a_0,5.9,5.53,8.45,11.07,18.93,32.05,1088.37,1426.38,1994.8,2429.25,4023.91,3388.78,13638.51,18644.9,12973.48,39265.58
e_0,6.75,4.28,6.65,10.2,17.15,51.65,1248.42,1303.11,2813.08,2640.45,3427.47,4946.6,15889.82,12280.45,19347.94,27515.93
g_0,4.12,4.08,7.21,8.1,12.44,33.19,660.45,1022.81,1406.73,2398.9,3931.91,3290.34,8257.4,9021.2,10536.61,20062.84
