,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.14,6.71,12.07,10.05,10.56,11.17,3.36,3.34,2.1,2.19,2.3,2.65,2.27,1.82,6.45,1.99
f_1,10.24,1.14,9.22,13.54,11.66,10.26,2.08,3.18,2.35,2.66,2.31,11.68,2.12,1.06,1.63,1.54
d_1,12.53,10.23,1.14,11.27,9.48,14.01,3.09,2.2,2.22,10.81,2.37,2.22,1.86,1.56,2.67,1.24
c_1,12.8,13.46,19.83,1.14,15.93,11.52,3.9,3.39,8.1,1.32,2.67,2.52,2.76,1.98,3.03,1.88
b_1,14.92,14.59,14.43,8.08,1.15,16.46,5.69,5.24,3.36,3.26,11.04,3.12,4.57,2.15,3.41,2.13
a_1,23.62,21.93,21.64,23.91,10.36,1.15,6.5,7.05,5.61,5.45,5.86,4.15,20.24,4.78,3.7,4.54
h_1,26.9,25.26,21.25,26.47,26.93,22.61,1.89,8.17,4.65,5.85,4.42,4.43,4.83,9.02,4.23,3.12
g_1,28.79,34.55,25.35,32.23,29.59,29.79,6.74,1.91,5.61,6.02,5.57,5.91,5.45,3.39,6.34,7.57
c_0,39.2,43.6,16.9,174.41,41.43,25.71,9.54,9.02,2.56,10.29,8.32,6.12,6.34,5.09,7.89,3.88
d_0,15.95,42.09,110.91,32.94,44.88,41.71,11.45,11.09,8.2,2.67,8.97,6.85,10.12,4.78,7.4,6.49
b_0,34.44,42.58,34.79,39.01,141.74,44.69,10.65,11.58,4.56,7.42,2.67,5.19,7.59,6.3,7.55,4.42
f_0,34.76,166.45,38.16,44.25,40.19,33.52,10.29,8.72,6.76,8.18,8.44,2.75,8.02,8.27,13.65,4.82
a_0,47.24,50.16,48.62,70.6,81.61,125.13,14.09,18.48,10.41,11.0,4.07,8.29,2.8,5.75,9.59,6.0
h_0,55.83,58.13,55.45,63.09,48.96,50.73,45.8,15.84,10.25,10.13,8.7,8.57,8.85,19.85,8.66,7.23
e_0,122.83,85.16,59.15,61.77,58.54,67.04,16.96,12.52,11.51,14.18,8.7,5.71,10.62,7.22,2.69,8.15
g_0,75.2,89.32,60.15,57.02,76.94,64.72,21.3,45.65,11.93,14.18,11.71,12.24,13.71,7.49,11.09,
