,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,g_0,a_0,e_0
f_1,1.07,7.74,12.48,9.35,7.62,9.8,2.6,3.68,2.68,4.39,,2.41,1.28,2.06,2.81,
d_1,10.97,1.07,12.28,8.42,8.57,,4.09,2.8,,3.28,2.87,2.22,2.18,1.24,2.55,1.75
e_1,5.3,8.83,1.07,9.5,10.24,8.56,3.87,3.01,2.89,3.41,3.09,3.35,2.36,2.15,2.03,
c_1,8.98,12.27,10.08,1.07,10.21,,3.2,3.36,2.01,,2.88,2.69,2.63,1.95,2.23,3.21
b_1,12.79,11.16,10.22,6.6,1.07,10.55,4.38,4.26,3.25,3.03,2.58,,2.18,2.75,,3.53
a_1,12.05,,14.67,,9.68,1.07,6.13,5.17,3.78,3.73,4.01,4.18,3.28,,,
h_1,14.44,13.72,12.45,14.78,12.98,11.08,1.41,6.71,3.52,3.21,3.72,3.86,,3.17,2.97,3.34
g_1,16.71,15.87,19.57,18.67,17.16,15.37,4.39,1.41,4.48,4.49,5.99,5.64,2.49,,3.55,4.1
d_0,15.62,,10.7,14.4,14.02,13.91,5.66,5.03,1.69,4.09,4.55,3.29,3.75,2.88,4.43,3.68
c_0,14.68,9.89,13.43,,15.37,11.96,7.16,4.7,5.14,1.76,4.18,6.55,4.05,2.85,5.18,3.93
f_0,,15.44,15.24,16.35,16.62,14.15,6.64,3.81,7.2,4.12,1.72,5.16,3.03,2.74,3.74,6.14
b_0,16.5,16.2,15.47,18.46,,15.09,6.73,5.43,5.8,3.09,4.23,1.77,5.09,3.42,5.98,4.04
h_0,20.38,13.45,13.37,14.58,16.03,14.1,,6.57,5.05,4.02,5.57,3.78,,5.51,3.56,3.55
g_0,20.26,23.24,17.95,19.53,16.67,,4.86,,6.07,5.86,5.22,5.54,2.88,,4.43,3.95
a_0,19.77,23.68,34.43,23.6,,,9.15,9.78,6.48,5.4,6.72,4.12,6.36,5.71,1.72,
e_0,,32.88,,18.39,18.91,,7.26,7.7,7.42,6.81,3.59,5.59,6.08,5.39,,1.76
