,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,16.71,0.62,0.42,0.41,0.56,0.71,0.82,0.92,0.45,2.28,1.19,1.12,1.08,1.05,1.03,1.15
f_1,0.51,16.25,1.27,0.57,0.44,0.4,0.88,0.82,0.84,0.78,0.79,0.35,0.95,0.85,1.0,0.49
e_1,0.47,0.57,16.34,0.65,0.62,0.56,0.94,0.73,2.02,0.93,0.99,0.91,0.86,0.92,0.86,0.43
c_1,0.52,0.48,0.48,20.07,1.26,0.47,0.96,0.95,0.85,0.24,0.58,1.08,1.01,0.89,0.75,0.9
b_1,0.59,0.53,0.55,0.61,20.06,1.32,0.67,0.72,0.79,0.7,0.38,1.07,0.82,0.79,1.02,0.99
a_1,0.64,0.53,0.5,0.62,0.52,30.18,0.99,1.06,0.84,0.84,1.13,0.98,0.94,0.48,1.08,1.13
h_1,0.81,1.25,0.57,0.8,0.61,0.59,4.93,1.74,1.15,1.0,1.01,1.04,0.76,1.2,1.43,1.34
g_1,1.44,0.66,0.57,0.77,0.68,0.56,1.04,5.84,0.88,1.12,1.12,1.83,1.2,0.96,0.49,1.35
d_0,0.43,0.71,0.67,2.08,0.67,0.64,1.21,1.16,2.91,0.89,1.27,0.89,1.18,0.88,1.08,1.61
c_0,0.9,0.9,0.65,0.44,0.57,0.7,1.48,1.07,1.3,2.64,3.34,1.23,1.34,1.6,1.11,1.67
b_0,0.91,0.99,0.68,0.84,0.36,0.67,1.36,1.11,0.96,1.12,3.52,1.03,1.52,2.83,1.54,1.1
f_0,0.94,0.47,0.58,0.67,0.72,0.79,1.16,1.13,1.31,1.35,1.34,3.76,1.19,1.47,1.34,4.08
h_0,0.87,1.43,0.76,0.65,0.63,0.54,0.57,1.52,0.89,1.11,1.43,1.1,0.79,1.14,1.78,0.97
a_0,0.7,0.98,0.76,0.88,0.68,0.27,1.32,1.05,1.36,1.48,1.44,1.1,1.53,4.25,1.27,1.08
g_0,1.48,0.56,0.64,0.81,0.62,0.57,0.88,0.71,0.89,1.25,1.33,2.2,1.23,1.2,0.8,1.44
e_0,1.06,0.91,0.42,0.69,0.82,0.73,1.16,1.25,1.03,1.08,1.68,1.16,1.59,1.18,1.23,4.84
