,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.17,0.63,0.66,0.67,0.68,0.53,0.13,0.23,0.12,0.13,0.12,0.22,0.07,0.15,0.1,0.14
e_1,0.36,0.17,0.75,0.8,0.67,0.69,0.21,0.24,0.14,0.15,0.16,0.18,0.11,0.13,0.28,0.1
d_1,0.71,0.73,0.16,0.69,0.74,0.63,0.17,0.11,0.13,0.31,0.13,0.14,0.09,0.13,0.13,0.06
c_1,0.61,0.51,0.94,0.15,0.67,0.54,0.25,0.21,0.29,0.07,0.13,0.16,0.08,0.11,0.12,0.1
b_1,0.83,0.7,0.64,0.33,0.13,0.83,0.22,0.19,0.18,0.15,0.3,0.13,0.11,0.13,0.17,0.09
a_1,0.76,0.71,0.8,0.78,0.29,0.09,0.17,0.19,0.15,0.14,0.17,0.12,0.13,0.32,0.13,0.09
h_1,0.51,0.56,0.48,0.55,0.58,0.47,0.06,0.16,0.11,0.13,0.1,0.1,0.12,0.09,0.09,0.08
g_1,0.67,0.56,0.4,0.5,0.56,0.55,0.13,0.05,0.11,0.11,0.12,0.11,0.06,0.11,0.09,0.1
c_0,0.67,0.61,0.28,1.11,0.58,0.48,0.15,0.15,0.06,0.17,0.09,0.09,0.08,0.1,0.09,0.06
d_0,0.55,0.28,0.92,0.52,0.62,0.51,0.15,0.21,0.12,0.06,0.13,0.11,0.09,0.1,0.1,0.1
b_0,0.56,0.47,0.46,0.74,0.8,0.46,0.16,0.14,0.06,0.1,0.05,0.1,0.07,0.09,0.09,0.08
f_0,1.05,0.54,0.45,0.59,0.53,0.41,0.18,0.08,0.11,0.12,0.1,0.05,0.07,0.1,0.09,0.04
h_0,0.56,0.44,0.5,0.58,0.58,0.41,0.22,0.12,0.12,0.09,0.1,0.09,0.13,0.08,0.09,0.08
a_0,0.54,0.52,0.49,0.52,0.69,1.02,0.17,0.14,0.1,0.09,0.05,0.1,0.07,0.04,0.1,0.08
e_0,0.65,0.76,0.47,0.5,0.58,0.41,0.17,0.16,0.11,0.09,0.09,0.05,0.06,0.09,0.04,0.07
g_0,0.59,0.55,0.43,0.64,0.55,0.71,0.11,0.19,0.1,0.11,0.1,0.1,0.06,0.09,0.1,0.09
