,d_1,e_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,e_0,g_0
d_1,1.0,1.07,1.05,0.92,1.0,0.96,1.01,0.91,0.81,1.32,1.05,1.0,0.94,1.03,0.96,0.86
e_1,0.93,1.0,0.78,1.15,1.05,1.05,1.15,1.4,1.14,0.99,1.1,1.09,1.16,1.07,1.21,1.08
f_1,0.95,1.27,1.0,0.98,0.9,1.08,0.78,0.98,1.07,0.88,0.85,0.86,0.75,0.92,0.74,0.87
c_1,1.09,0.88,1.03,1.0,1.3,0.89,0.94,0.73,0.97,0.85,0.91,0.79,1.09,0.95,0.91,1.18
b_1,1.01,0.96,1.1,0.76,1.0,1.31,1.1,0.87,0.95,1.1,0.92,1.22,0.98,0.9,1.1,1.13
a_1,1.03,0.94,0.93,1.13,0.76,1.0,1.28,1.09,1.21,1.1,1.17,1.27,1.23,1.06,1.28,1.08
h_1,0.97,0.91,1.27,1.01,0.9,0.82,1.0,0.96,1.37,0.86,0.96,0.94,1.04,0.99,0.91,1.11
d_0,1.03,0.73,1.01,1.39,1.16,0.97,1.05,1.0,0.97,0.79,0.91,0.98,0.98,0.82,0.91,1.05
g_1,1.3,0.93,0.93,1.0,1.03,0.81,0.73,1.04,1.0,0.94,1.17,1.04,0.97,1.13,1.08,0.84
c_0,0.75,1.06,1.11,1.15,0.88,0.84,1.2,1.31,1.09,1.0,1.06,1.69,1.12,1.08,1.12,1.13
f_0,0.97,0.94,1.15,1.06,1.09,0.9,1.06,1.01,0.89,0.97,1.0,1.03,1.05,0.87,1.38,0.76
b_0,0.96,0.92,1.15,1.26,0.8,0.76,1.03,1.13,0.95,0.63,1.0,1.0,1.11,1.5,1.06,0.91
h_0,1.03,0.89,1.32,0.92,0.97,0.84,0.95,0.98,1.04,0.88,0.93,0.9,1.0,0.87,0.92,1.07
a_0,1.0,1.0,1.08,0.99,1.01,1.02,1.08,1.15,0.86,0.99,1.13,0.67,1.14,1.0,0.97,1.01
e_0,1.08,0.93,1.32,1.06,0.93,0.83,1.11,1.12,0.87,0.93,0.69,0.99,1.05,1.03,1.0,1.02
g_0,1.23,0.92,1.1,0.89,0.83,0.92,0.9,0.92,1.17,0.89,1.29,1.12,0.95,1.0,0.95,1.0
