,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.79,0.9,1.17,1.11,0.75,0.71,0.89,0.71,0.62,0.63,0.68,0.6,0.66,0.58,0.57
f_1,1.26,1.0,0.86,0.97,0.9,0.79,0.58,0.68,0.66,0.6,0.6,0.62,0.48,0.55,0.46,0.54
d_1,1.11,1.17,1.0,0.89,0.84,0.84,0.71,0.7,0.53,0.84,0.72,0.61,0.65,0.58,0.58,0.47
c_1,0.87,1.01,1.11,1.0,1.29,0.87,0.72,0.51,0.74,0.53,0.61,0.63,0.6,0.56,0.57,0.58
b_1,0.91,1.1,1.17,0.78,1.0,1.42,0.76,0.65,0.72,0.79,0.68,0.66,0.61,0.56,0.58,0.65
a_1,1.32,1.25,1.17,1.13,0.72,1.0,0.95,0.84,0.82,0.73,0.77,0.72,0.72,0.67,0.8,0.71
h_1,1.4,1.75,1.46,1.38,1.33,1.07,1.0,0.92,1.09,0.84,0.84,0.85,0.86,0.76,0.76,0.93
d_0,1.11,1.5,1.41,1.99,1.58,1.22,1.01,1.0,1.04,0.71,0.88,0.91,0.96,0.81,0.87,0.92
g_1,1.44,1.52,1.84,1.36,1.35,1.17,0.89,0.96,1.0,1.01,0.87,1.09,0.81,0.89,0.92,0.88
c_0,1.57,1.69,1.24,1.93,1.27,1.34,1.19,1.41,1.0,1.0,1.29,0.99,1.04,1.05,0.92,0.96
b_0,1.54,1.69,1.42,1.81,1.56,1.17,1.19,1.11,1.16,0.78,1.0,0.9,1.08,1.18,0.96,0.97
f_0,1.45,1.6,1.6,1.63,1.52,1.4,1.2,1.17,0.93,1.04,1.03,1.0,1.1,0.89,1.27,0.8
h_0,1.65,2.05,1.65,1.63,1.59,1.39,1.14,1.06,1.26,1.01,0.91,0.91,1.0,0.79,0.82,1.09
a_0,1.62,1.8,1.65,1.79,1.77,1.39,1.34,1.23,1.06,0.95,0.87,1.12,1.23,1.0,1.01,0.95
e_0,1.83,2.08,1.79,1.76,1.76,1.28,1.3,1.16,1.06,1.1,1.0,0.77,1.14,0.96,1.0,1.06
g_0,1.78,1.83,2.15,1.74,1.55,1.41,1.05,1.05,1.05,1.06,1.03,1.25,0.91,1.02,0.93,1.0
