,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.83,0.9,1.1,0.89,0.72,0.48,0.56,0.48,0.39,0.39,0.43,0.36,0.34,0.34,0.34
f_1,1.18,1.0,0.87,0.99,0.86,0.71,0.39,0.44,0.45,0.37,0.38,0.36,0.31,0.29,0.24,0.34
d_1,1.1,1.15,1.0,0.89,0.91,0.72,0.49,0.44,0.4,0.55,0.45,0.39,0.38,0.35,0.35,0.29
c_1,0.91,1.02,1.12,1.0,1.15,0.75,0.55,0.35,0.46,0.42,0.35,0.4,0.39,0.34,0.34,0.32
b_1,1.16,1.15,1.09,0.89,1.0,1.12,0.59,0.5,0.45,0.51,0.48,0.43,0.39,0.33,0.35,0.37
a_1,1.33,1.41,1.38,1.31,0.91,1.0,0.74,0.67,0.65,0.58,0.67,0.58,0.52,0.45,0.46,0.44
h_1,2.05,2.53,1.92,1.93,1.73,1.38,1.0,0.83,0.89,0.72,0.78,0.69,0.74,0.65,0.61,0.68
d_0,1.87,2.28,2.18,2.87,2.09,1.5,1.19,1.0,1.04,0.77,0.89,0.89,0.86,0.68,0.72,0.79
g_1,2.14,2.2,2.49,2.18,2.21,1.5,1.08,0.96,1.0,0.93,0.9,1.03,0.71,0.76,0.77,0.78
c_0,2.54,2.64,1.97,2.42,1.87,1.65,1.35,1.22,1.01,1.0,1.32,0.97,0.85,0.87,0.88,0.77
b_0,2.49,2.67,2.3,2.75,2.12,1.59,1.26,1.13,1.17,0.77,1.0,0.91,0.9,1.15,0.81,0.76
f_0,2.41,2.72,2.58,2.43,2.27,1.7,1.46,1.17,0.94,0.96,1.08,1.0,0.93,0.89,1.21,0.74
h_0,2.71,3.26,2.75,2.56,2.47,1.85,1.35,1.14,1.39,1.19,1.12,1.1,1.0,0.84,0.84,0.97
a_0,2.88,3.27,2.87,3.03,2.73,2.27,1.59,1.48,1.41,1.16,0.9,1.23,1.14,1.0,1.01,1.04
e_0,2.93,4.04,2.87,2.93,2.68,2.15,1.64,1.38,1.22,1.17,1.24,0.88,1.27,1.0,1.0,0.99
g_0,2.88,2.97,3.45,3.09,2.74,2.17,1.5,1.2,1.28,1.24,1.32,1.42,1.04,0.97,1.01,1.0
