,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,g_0,e_0,a_0
e_1,1.06,2.36,1.45,2.38,1.97,1.53,0.81,0.87,0.63,0.98,0.68,0.65,0.45,0.57,0.86,0.62
d_1,2.44,1.05,2.39,2.26,1.93,1.78,0.79,1.17,0.68,0.52,0.64,0.53,0.47,0.31,0.55,0.51
f_1,2.27,2.12,1.06,2.24,1.79,1.79,0.65,0.58,0.62,0.84,0.58,0.87,0.41,0.57,0.55,0.57
c_1,1.8,2.5,2.0,1.06,2.8,1.78,0.82,0.4,0.8,0.71,0.59,0.64,0.5,0.44,0.53,0.46
b_1,2.5,2.58,3.09,1.37,1.06,3.54,0.94,0.76,0.83,0.92,0.97,0.62,0.65,0.57,0.61,0.54
a_1,4.28,3.39,3.06,3.86,1.71,1.07,1.38,1.1,0.97,1.55,1.26,1.05,0.81,0.76,0.75,1.11
h_1,5.59,6.14,6.51,5.26,5.35,4.0,1.31,1.58,1.68,2.03,1.46,1.37,1.5,1.17,1.24,1.37
d_0,3.75,7.89,6.95,8.69,6.59,4.83,2.68,1.47,1.75,2.54,2.08,1.69,1.41,1.47,1.74,1.48
c_0,6.73,4.23,7.32,8.81,6.47,5.41,2.62,2.88,1.48,2.32,2.16,1.88,1.57,1.47,1.78,1.61
g_1,6.07,7.37,7.03,6.92,6.4,4.99,2.06,2.03,2.26,1.33,2.35,2.16,1.19,1.49,1.8,1.51
b_0,7.12,6.11,8.4,9.29,9.89,5.37,2.73,2.07,1.34,2.26,1.45,1.88,1.74,1.67,1.58,1.79
f_0,7.08,7.31,10.49,8.08,8.1,5.55,2.92,2.63,2.21,1.82,2.19,1.51,1.8,1.28,2.05,1.72
h_0,8.94,8.35,8.66,9.35,7.91,7.52,4.0,2.94,2.64,4.09,2.51,2.53,2.69,2.1,1.79,1.83
g_0,8.28,12.18,11.32,11.65,9.51,8.37,3.35,3.49,2.88,4.25,2.71,2.79,1.9,2.84,2.44,2.2
e_0,12.87,8.17,12.7,11.12,10.62,8.61,3.99,3.51,3.14,2.9,3.21,1.87,2.62,2.3,1.55,2.26
a_0,10.15,9.7,12.03,12.3,11.88,11.62,4.26,3.28,3.21,4.18,2.04,3.14,3.12,2.57,3.06,1.67
