,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.07,3.37,3.29,3.68,2.99,2.94,0.93,0.95,1.36,0.92,0.97,1.63,0.54,0.85,0.91,1.0
e_1,2.26,1.07,3.23,3.67,3.62,2.98,1.27,1.12,1.23,1.17,0.98,1.34,0.84,0.87,2.1,0.76
d_1,3.68,4.06,1.07,3.55,2.77,2.85,1.4,1.1,0.75,2.34,1.13,0.92,0.76,0.88,0.95,0.61
c_1,3.99,3.18,4.83,1.07,5.9,2.91,1.35,2.22,1.29,0.64,0.94,0.93,0.81,0.84,0.74,0.89
b_1,3.92,4.24,4.21,1.86,1.07,4.66,1.82,1.24,1.36,1.35,2.03,1.0,1.09,1.05,0.96,0.81
a_1,5.11,5.01,5.24,6.03,2.72,1.07,1.74,1.49,1.91,1.61,1.74,1.83,1.42,3.63,1.28,1.11
h_1,8.36,6.44,7.4,7.38,6.25,5.63,1.39,2.12,3.49,1.94,2.07,1.81,2.47,2.06,1.86,1.48
c_0,10.37,8.53,5.21,18.29,8.76,7.8,3.51,1.64,3.51,3.34,2.76,2.23,2.2,2.33,1.99,1.82
g_1,8.4,9.43,9.8,8.65,7.95,8.56,2.5,2.29,1.39,2.62,2.29,2.54,1.53,1.83,1.89,2.04
d_0,8.68,5.54,11.46,12.0,8.63,6.71,4.44,2.44,4.48,1.66,2.9,2.45,1.89,2.42,2.01,1.54
b_0,10.04,10.2,7.69,9.89,19.15,8.89,3.71,1.77,3.72,2.61,1.6,2.63,2.66,3.02,2.8,1.61
f_0,20.53,9.2,9.6,11.26,10.87,7.14,4.68,2.82,2.82,3.1,2.7,1.64,2.66,2.85,3.29,1.52
h_0,14.9,10.46,10.44,11.34,10.04,9.47,7.68,3.06,4.99,3.88,2.83,2.84,4.45,2.46,3.59,2.95
a_0,14.73,14.65,11.02,12.28,13.59,,4.13,3.19,5.22,4.01,2.07,2.78,3.67,1.7,3.11,3.4
e_0,14.53,16.55,11.39,15.31,14.14,12.94,5.66,3.67,6.33,4.23,3.05,1.97,2.59,3.3,1.64,2.89
g_0,13.09,13.18,15.3,12.43,12.82,11.6,4.96,4.4,10.38,5.56,4.53,4.19,2.77,3.6,3.45,4.92
