,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,2.31,0.89,0.73,1.07,0.76,0.61,1.47,1.34,2.99,1.56,1.62,1.42,1.79,2.31,0.9,1.53
f_1,1.39,2.35,0.81,0.8,0.67,0.55,1.43,1.11,1.66,1.56,1.62,0.89,1.44,1.88,1.06,1.57
d_1,0.77,0.88,2.45,0.65,0.72,0.62,1.62,1.57,1.2,3.1,2.05,1.63,1.57,2.13,1.55,2.18
c_1,0.82,0.84,0.79,2.49,1.38,0.59,1.53,1.31,1.51,0.83,1.07,1.44,1.47,1.95,1.35,1.59
b_1,0.82,0.87,0.83,0.77,2.62,1.2,1.47,1.37,1.59,1.3,0.98,1.58,1.03,2.31,1.27,1.99
a_1,0.92,0.89,0.78,0.81,0.73,3.13,1.64,1.53,1.53,1.69,1.66,1.49,1.28,2.28,1.73,2.16
h_1,0.92,1.25,1.0,0.93,0.75,0.5,3.29,2.12,1.76,1.77,1.6,1.68,1.69,1.51,1.64,2.73
g_1,0.82,0.72,1.39,0.98,0.76,0.58,1.63,3.57,1.92,1.75,1.69,2.47,1.59,2.63,1.71,1.46
d_0,0.95,0.88,0.68,1.59,0.86,0.67,1.69,1.57,2.92,1.37,1.55,1.63,1.6,2.41,1.67,1.82
c_0,1.05,0.96,0.98,0.73,0.76,0.63,1.67,1.59,2.03,3.15,3.63,2.13,2.42,2.85,1.68,2.31
b_0,1.0,0.99,0.89,1.05,0.62,0.54,1.71,1.61,2.14,1.83,3.32,1.87,3.56,2.6,1.72,2.09
f_0,0.75,0.75,1.0,0.95,0.78,0.88,1.62,1.72,2.43,2.22,1.83,3.52,2.26,2.81,3.67,2.53
a_0,1.01,1.11,0.98,0.86,0.87,0.52,1.84,1.51,1.91,1.9,1.92,1.89,3.15,2.6,1.9,2.09
h_0,0.9,1.32,1.02,0.94,0.75,0.66,1.19,1.66,1.75,1.74,1.83,1.42,1.48,1.74,1.83,2.57
e_0,0.75,1.09,0.95,0.93,0.84,0.71,1.99,1.69,1.67,1.78,1.76,1.75,1.7,2.56,3.44,2.47
g_0,0.74,0.97,1.52,0.85,0.75,0.59,1.57,1.39,1.51,2.21,1.75,2.66,1.61,2.27,1.8,1.8
