,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,2.48,1.51,1.56,2.04,1.74,1.63,3.35,5.21,3.19,3.14,4.01,3.96,4.74,3.51,3.78,4.57
f_1,2.43,2.54,1.49,1.66,1.42,1.35,2.93,3.99,3.22,3.61,3.23,3.64,4.31,2.88,4.06,4.57
d_1,1.65,1.91,2.6,1.36,1.64,1.56,3.23,2.96,2.88,5.44,3.45,4.28,4.41,4.01,4.09,4.31
c_1,1.43,1.63,1.66,2.6,2.58,1.79,3.33,2.96,2.87,2.59,3.66,2.63,4.38,3.44,3.19,4.64
b_1,1.56,1.79,1.73,1.48,2.76,2.92,3.15,3.19,3.32,3.53,3.44,3.03,4.64,3.83,3.09,4.36
a_1,1.74,1.93,1.68,1.77,1.45,3.25,3.43,3.94,3.2,3.32,3.79,3.93,4.9,4.39,3.61,4.35
h_1,1.65,2.13,1.84,1.7,1.69,1.47,4.29,3.21,4.38,3.41,3.76,3.62,4.04,3.77,4.04,5.44
d_0,1.43,1.54,1.54,2.55,2.05,1.65,3.65,4.37,3.56,2.68,3.71,3.55,4.57,4.1,4.4,4.96
g_1,1.63,1.58,2.3,1.76,1.75,1.79,2.93,2.91,4.62,3.72,4.84,3.35,3.97,4.25,3.76,3.97
c_0,1.83,1.82,1.63,1.69,1.41,1.82,3.66,4.38,3.53,4.56,4.17,6.3,4.87,4.07,5.48,5.17
f_0,1.46,1.52,1.88,1.92,1.95,1.87,3.6,3.62,3.62,3.73,4.72,3.93,4.73,6.73,4.27,4.43
b_0,1.71,1.82,1.65,2.07,1.58,1.21,3.75,3.95,3.78,3.01,3.8,4.91,4.84,4.29,6.94,5.11
h_0,1.55,2.01,1.87,1.69,1.76,1.78,3.15,3.76,4.31,3.52,3.86,3.67,4.29,3.82,3.88,5.34
e_0,1.41,1.92,1.82,1.86,1.69,1.64,3.76,3.6,4.0,3.89,3.25,3.78,5.41,5.6,5.16,4.96
a_0,1.8,1.7,1.84,1.84,1.9,1.58,3.77,3.72,3.83,3.6,3.74,3.26,4.54,3.45,5.48,4.65
g_0,1.49,1.63,2.3,1.54,1.79,1.75,3.11,3.15,3.43,3.93,4.9,3.69,4.24,4.25,4.29,4.54
