,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,1.0,1.19,1.09,0.86,0.87,0.71,0.61,0.56,0.59,0.57,0.55,0.5,0.48,0.44,0.55,0.5
e_1,0.84,1.0,1.02,0.82,0.95,0.84,0.73,1.03,0.85,0.64,0.67,0.74,0.64,0.75,0.7,0.6
c_1,0.92,0.97,1.0,1.15,1.36,0.85,0.71,0.46,0.69,0.44,0.52,0.53,0.52,0.44,0.46,0.55
d_1,1.16,1.22,0.87,1.0,0.9,0.73,0.82,0.68,0.54,0.88,0.71,0.6,0.67,0.68,0.62,0.5
b_1,1.12,1.06,0.73,1.12,1.0,1.53,0.68,0.77,0.62,0.79,0.57,0.72,0.66,0.61,0.52,0.54
a_1,1.4,1.19,1.17,1.36,0.66,1.0,0.9,0.94,0.79,0.73,0.85,0.72,0.73,0.72,0.68,0.71
h_1,1.7,1.32,1.38,1.21,1.48,1.06,1.0,0.84,1.08,0.92,0.8,0.81,0.83,0.84,0.7,0.82
d_0,1.66,0.96,2.29,1.54,1.45,1.05,1.18,1.0,1.12,0.86,0.9,0.8,0.92,1.01,0.87,0.93
g_1,1.67,1.18,1.45,1.89,1.56,1.37,0.92,0.91,1.0,1.0,0.94,1.01,0.75,0.95,0.76,0.9
c_0,1.77,1.61,2.13,1.13,1.19,1.37,1.05,1.19,1.0,1.0,1.55,1.13,0.88,0.86,0.97,0.83
b_0,1.95,1.47,1.96,1.37,2.1,1.13,1.3,1.06,1.07,0.67,1.0,1.02,0.88,0.91,1.25,0.94
f_0,1.69,1.36,1.83,1.6,1.53,1.43,1.21,1.2,0.98,0.89,0.94,1.0,1.0,1.2,0.85,0.74
h_0,2.06,1.6,1.79,1.49,1.49,1.42,1.29,1.06,1.35,1.15,1.09,0.98,1.0,1.01,0.86,1.28
e_0,2.28,1.34,2.26,1.44,1.71,1.53,1.25,0.98,1.09,1.17,1.09,0.89,0.98,1.0,0.81,0.95
a_0,1.77,1.51,2.15,1.54,1.88,1.43,1.39,1.17,1.3,1.06,0.79,1.18,1.16,1.25,1.0,1.18
g_0,1.96,1.71,1.93,2.11,1.74,1.38,1.18,1.1,1.2,1.15,1.01,1.32,0.77,0.99,0.85,1.0
