,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.65,0.91,1.01,0.94,0.96,0.78,0.36,0.43,0.32,0.38,0.35,0.37,0.23,0.33,0.3,0.29
d_1,1.06,0.64,1.03,0.95,0.86,0.86,0.41,0.32,0.37,0.41,0.34,0.33,0.25,0.33,0.33,0.19
e_1,0.7,1.01,0.64,1.07,1.06,0.89,0.44,0.5,0.39,0.46,0.38,0.43,0.31,0.33,0.39,0.3
c_1,0.96,1.08,0.82,0.63,1.17,0.88,0.41,0.44,0.37,0.25,0.32,0.34,0.33,0.32,0.34,0.29
b_1,1.06,1.17,1.03,0.69,0.62,1.1,0.52,0.46,0.49,0.37,0.51,0.39,0.33,0.37,0.36,0.35
a_1,1.4,1.24,1.34,1.15,0.73,0.56,0.58,0.57,0.53,0.49,0.56,0.46,0.4,0.55,0.41,0.35
h_1,1.77,1.64,1.56,1.64,1.56,1.23,0.52,0.79,0.62,0.62,0.58,0.58,0.62,0.62,0.55,0.51
g_1,1.7,1.72,1.54,1.79,1.63,1.44,0.63,0.51,0.59,0.6,0.59,0.64,0.39,0.54,0.55,0.52
c_0,1.94,1.29,1.77,2.36,1.69,1.4,0.8,0.74,0.53,0.79,0.66,0.6,0.5,0.59,0.55,0.46
d_0,1.53,2.12,1.2,1.98,1.73,1.61,0.82,0.85,0.63,0.54,0.66,0.66,0.53,0.58,0.6,0.58
b_0,1.92,1.56,1.74,2.33,2.03,1.45,0.78,0.78,0.45,0.66,0.52,0.58,0.53,0.74,0.56,0.47
f_0,2.13,1.86,1.6,1.96,1.76,1.49,0.8,0.6,0.69,0.69,0.67,0.52,0.58,0.64,0.74,0.37
h_0,2.15,1.99,1.92,1.89,1.88,1.7,0.94,0.96,0.68,0.72,0.71,0.63,0.63,0.67,0.63,0.57
a_0,2.08,1.8,2.02,2.11,2.15,2.0,0.81,0.88,0.64,0.73,0.49,0.65,0.63,0.51,0.67,0.59
e_0,2.5,1.95,2.2,2.12,1.94,1.67,0.92,0.78,0.79,0.78,0.76,0.45,0.68,0.68,0.51,0.48
g_0,2.27,2.55,2.0,2.09,1.85,1.8,0.79,0.94,0.8,0.77,0.79,0.85,0.55,0.86,0.84,0.63
