,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,3.83,0.37,0.34,0.44,0.33,0.4,0.73,0.7,0.86,1.57,0.97,0.88,0.89,0.73,0.24,1.0
f_1,0.71,3.91,0.44,0.39,0.33,0.28,0.72,0.6,0.79,0.71,0.89,0.22,0.86,0.69,0.58,0.64
d_1,0.37,0.43,3.97,0.29,0.31,0.35,1.0,0.86,1.42,0.17,0.89,1.01,0.78,0.74,0.79,0.82
c_1,0.43,0.39,0.26,4.35,0.84,0.27,0.6,0.8,0.16,0.88,0.73,0.73,0.86,0.86,0.79,0.78
b_1,0.32,0.49,0.36,0.43,5.16,0.92,0.61,0.65,0.66,0.7,0.14,0.56,0.71,0.63,0.72,0.65
a_1,0.37,0.31,0.45,0.44,0.34,7.94,0.93,0.7,0.75,0.88,0.57,0.81,1.31,0.17,0.69,1.04
h_1,0.63,0.97,0.77,0.65,0.67,0.45,4.84,1.53,1.34,1.02,1.55,1.03,0.51,1.38,1.27,2.15
g_1,0.46,0.55,1.32,0.54,0.67,0.57,1.24,6.01,1.57,0.92,1.02,2.31,1.7,1.29,1.44,0.74
c_0,0.69,0.79,0.9,0.29,0.53,0.77,1.28,1.47,3.62,1.35,2.6,1.65,1.69,1.59,1.66,1.79
d_0,0.6,0.67,0.13,1.58,0.68,0.62,1.23,1.07,1.25,3.71,1.28,1.8,1.4,1.68,1.88,1.69
b_0,0.83,0.81,0.65,0.63,0.29,0.56,1.35,1.25,1.43,1.57,4.23,1.81,1.94,3.23,2.36,1.66
f_0,0.56,0.23,0.83,0.89,0.56,0.67,1.45,1.36,1.59,1.71,1.7,4.61,1.81,1.92,4.14,1.49
h_0,0.62,1.11,0.77,0.63,0.65,0.56,0.63,1.63,1.17,1.26,1.16,1.55,0.59,1.5,1.84,2.02
a_0,0.85,0.69,1.03,0.7,0.68,,0.94,1.07,1.3,1.05,1.16,1.16,1.84,5.5,1.58,1.43
e_0,0.22,0.78,0.77,0.84,0.81,0.74,1.24,1.4,1.67,1.68,1.71,1.81,1.64,1.81,6.46,2.13
g_0,0.53,0.71,1.01,0.62,0.76,0.51,1.29,0.64,1.15,1.39,1.45,2.28,1.45,1.74,1.3,0.73
