,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,92.4,50.27,40.25,60.26,85.65,178.99,4765.31,11029.28,12208.2,11431.98,28828.13,15345.66,75629.19,61981.63,63039.24,142430.39
e_1,26.33,100.41,39.96,57.45,72.51,255.1,5173.72,16539.28,10556.73,14353.22,21806.49,45981.61,76000.99,60602.68,80153.23,154787.16
d_1,28.9,30.68,126.0,34.24,71.06,208.06,4494.44,5786.54,8800.52,19876.17,27740.45,36834.96,74839.88,85182.35,85136.94,116770.52
c_1,25.02,25.12,39.11,145.52,110.04,184.31,4210.93,8835.13,7263.69,5159.63,21929.06,37609.6,81540.63,62677.47,60804.38,118338.67
b_1,20.2,28.06,33.88,34.46,217.33,299.94,3614.05,7596.32,7193.28,8420.4,10508.65,23991.57,43659.38,33697.23,38136.36,95473.7
a_1,17.45,14.71,24.83,27.4,32.02,503.56,2448.46,5802.64,4582.47,7794.07,16144.32,28606.21,45070.16,45996.06,32412.1,109232.39
h_1,12.4,8.0,14.44,14.93,23.41,61.18,2912.67,3156.66,4519.26,3974.7,7810.18,10865.05,14149.88,25518.92,21586.37,59089.53
d_0,8.54,7.06,5.14,21.63,18.94,48.82,1119.89,4229.48,1858.9,2739.32,6174.7,11399.6,18036.55,19920.93,16853.94,42397.07
g_1,6.11,6.33,14.42,12.28,20.52,56.88,790.23,2553.98,5477.53,2516.51,6995.46,15218.25,17564.92,20902.87,20480.09,23404.71
c_0,8.2,6.21,9.65,7.11,18.76,49.34,1325.12,2430.7,3218.0,5285.68,11192.23,10338.09,20754.69,19599.98,24366.53,42058.87
b_0,5.33,7.0,8.03,10.45,6.84,28.43,1061.2,2087.93,2437.97,2086.49,9062.64,8644.85,14042.81,16743.68,25436.02,24887.09
f_0,3.81,4.6,8.8,7.48,17.89,25.41,687.05,1574.81,1659.5,2262.24,4740.09,12358.09,12935.66,21877.11,12274.3,24824.78
h_0,5.17,4.05,5.32,6.72,11.5,33.15,471.42,1456.36,1513.92,1714.5,3954.19,6158.45,7277.42,11173.25,11928.89,27927.05
e_0,4.84,1.94,5.35,6.9,13.98,23.63,714.09,1647.26,1393.48,1945.93,4378.8,5261.76,11514.19,21106.35,8316.67,31791.6
a_0,4.81,4.05,5.83,7.0,12.02,,728.58,1353.41,1514.94,1762.37,3240.29,6144.72,9501.34,12519.97,20773.95,21835.7
g_0,2.77,2.95,7.26,4.99,10.36,19.19,465.6,935.53,1009.47,1233.68,3046.93,7008.84,6293.25,8080.38,8440.61,12335.96
