,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,0.45,2.36,4.96,5.1,4.53,3.88,1.34,1.08,0.81,1.02,0.89,0.92,0.69,4.7,0.86,0.93
f_1,4.15,0.44,3.88,3.64,4.34,4.49,0.86,1.38,0.96,0.83,2.52,0.96,0.49,0.84,0.81,0.82
d_1,5.95,4.51,0.42,4.74,5.02,3.79,1.35,0.76,0.76,3.99,1.1,0.91,0.61,0.78,0.37,0.64
c_1,3.93,4.76,5.09,0.41,5.37,4.91,1.4,1.69,2.87,0.47,0.81,0.86,0.6,0.71,0.68,0.9
b_1,5.02,6.14,5.28,2.8,0.38,4.62,1.4,2.07,1.24,1.02,1.01,4.12,0.82,1.07,0.7,1.29
a_1,8.71,6.53,5.17,5.88,3.15,0.34,1.81,1.47,1.08,1.06,1.23,1.43,0.68,1.34,0.97,5.16
h_1,4.9,5.45,5.19,4.85,4.84,4.51,0.35,1.66,1.15,1.07,0.94,1.06,1.89,0.86,0.81,1.04
g_1,5.24,5.68,5.78,6.17,5.51,5.41,1.1,0.32,1.08,1.29,1.25,1.07,0.71,1.0,1.5,1.22
c_0,6.05,5.5,2.82,25.85,5.88,5.6,1.81,1.59,0.44,1.51,1.46,1.26,0.93,0.93,0.82,1.44
d_0,2.63,6.66,15.36,5.75,6.04,7.11,1.66,2.16,1.39,0.46,1.08,1.3,0.79,1.26,0.88,1.28
f_0,4.84,18.7,6.16,6.72,5.09,6.26,1.65,1.04,1.05,1.11,0.4,1.1,0.9,1.02,0.54,1.04
b_0,4.79,5.67,5.03,7.27,21.22,7.72,1.73,1.54,0.67,1.32,1.07,0.38,0.99,1.47,0.94,1.07
h_0,6.35,6.82,6.2,6.05,7.27,6.82,5.94,2.65,1.44,1.72,1.67,1.54,2.56,1.44,1.01,1.58
e_0,18.59,10.02,7.33,7.36,5.39,8.2,1.93,2.17,1.05,1.37,0.64,1.24,1.1,0.34,0.76,1.64
g_0,6.81,9.28,6.96,7.12,8.29,7.69,1.93,4.81,1.47,1.56,1.29,1.4,0.81,1.68,1.91,1.53
a_0,6.84,8.31,9.67,7.45,6.95,22.81,2.03,2.07,1.33,1.64,1.3,0.7,1.03,2.02,1.32,0.34
