,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,0.88,0.16,0.07,0.08,0.07,0.04,0.09,0.07,0.1,0.07,0.02,0.06,0.07,0.03,0.05,0.04
e_1,0.1,0.88,0.1,0.07,0.06,0.05,0.07,0.05,0.15,0.07,0.08,0.07,0.08,0.01,0.05,0.06
c_1,0.09,0.08,0.88,0.07,0.14,0.03,0.08,0.06,0.08,0.02,0.07,0.04,0.1,0.06,0.04,0.07
d_1,0.1,0.08,0.07,0.88,0.07,0.03,0.08,0.06,0.02,0.16,0.07,0.07,0.1,0.04,0.04,0.07
b_1,0.09,0.08,0.1,0.07,0.87,0.1,0.08,0.05,0.07,0.06,0.07,0.01,0.07,0.05,0.04,0.05
a_1,0.09,0.1,0.09,0.08,0.06,0.87,0.07,0.06,0.08,0.05,0.08,0.08,0.07,0.07,0.01,0.04
h_1,0.2,0.15,0.16,0.14,0.11,0.08,0.52,0.14,0.13,0.11,0.13,0.1,0.05,0.09,0.06,0.13
g_1,0.14,0.12,0.12,0.24,0.11,0.07,0.11,0.53,0.13,0.12,0.2,0.13,0.1,0.07,0.09,0.04
d_0,0.15,0.17,0.28,0.04,0.11,0.09,0.14,0.11,0.35,0.11,0.14,0.12,0.13,0.09,0.11,0.11
c_0,0.21,0.16,0.07,0.17,0.08,0.07,0.12,0.11,0.16,0.37,0.15,0.24,0.17,0.1,0.1,0.14
f_0,0.05,0.14,0.18,0.19,0.13,0.09,0.11,0.09,0.16,0.14,0.39,0.14,0.16,0.18,0.06,0.1
b_0,0.16,0.17,0.16,0.21,0.03,0.06,0.12,0.12,0.15,0.12,0.1,0.38,0.18,0.07,0.21,0.11
h_0,0.19,0.13,0.15,0.17,0.12,0.07,0.06,0.15,0.15,0.12,0.12,0.12,0.08,0.1,0.11,0.16
e_0,0.2,0.04,0.15,0.17,0.13,0.06,0.13,0.13,0.12,0.18,0.14,0.17,0.14,0.36,0.12,0.14
a_0,0.17,0.15,0.18,0.2,0.1,0.03,0.15,0.11,0.11,0.14,0.11,0.14,0.16,0.08,0.36,0.11
g_0,0.15,0.15,0.13,0.25,0.12,0.07,0.11,0.03,0.12,0.1,0.18,0.12,0.13,0.12,0.07,0.05
