,e_1,f_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.83,1.0,1.16,1.05,0.91,1.07,0.99,1.05,1.34,0.99,1.13,1.02,1.0,1.05,1.13
f_1,1.2,1.0,0.92,1.05,0.93,0.96,0.86,0.87,0.99,0.99,0.94,0.93,0.89,0.91,0.75,0.97
d_1,0.99,1.1,1.0,0.89,0.96,0.99,1.02,1.29,0.84,1.04,1.01,0.98,1.01,1.04,1.11,0.89
c_1,0.87,0.97,1.12,1.0,1.28,1.02,0.99,0.92,1.09,0.74,0.94,0.97,1.0,0.86,0.99,0.96
b_1,0.96,1.07,1.06,0.8,1.0,1.39,1.0,1.02,0.98,0.92,0.94,0.95,1.02,0.87,0.98,1.04
a_1,1.05,1.04,1.01,0.97,0.72,1.0,1.16,1.04,1.1,0.98,1.3,1.11,1.13,1.31,1.1,1.06
h_1,0.93,1.15,1.01,0.99,0.99,0.83,1.0,0.92,1.13,1.0,0.95,1.0,1.05,1.0,0.99,1.16
c_0,1.0,1.13,0.82,1.08,0.99,0.94,1.1,1.0,1.04,1.16,1.33,0.99,1.1,1.13,1.02,1.04
g_1,0.96,1.01,1.19,0.91,1.03,0.92,0.89,0.96,1.0,0.89,0.95,1.08,0.88,1.04,0.99,0.94
d_0,0.81,0.99,0.96,1.35,1.16,0.96,1.02,0.86,1.11,1.0,1.03,0.95,1.01,0.99,1.05,1.05
b_0,1.05,1.03,0.96,1.09,1.06,0.77,1.07,0.77,1.0,0.93,1.0,0.97,0.96,1.49,1.02,0.96
f_0,0.86,1.06,0.99,1.06,1.04,0.92,0.99,0.96,0.9,1.05,0.99,1.0,1.07,1.1,1.39,0.89
h_0,1.0,1.08,0.94,0.98,1.0,0.91,0.94,0.9,1.15,0.98,1.06,0.95,1.0,0.95,0.92,1.09
a_0,0.97,1.11,0.96,1.15,1.16,0.79,1.02,0.91,1.01,0.99,0.72,0.94,1.04,1.0,0.94,0.95
e_0,0.97,1.35,0.89,1.02,1.0,0.9,0.99,0.99,1.02,0.95,1.02,0.74,1.06,1.03,1.0,0.98
g_0,0.89,1.0,1.1,1.04,0.99,0.95,0.86,0.95,1.1,0.9,1.07,1.2,0.92,1.01,1.0,1.0
