,f_1,d_1,e_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,0.87,1.38,0.99,0.99,0.65,0.65,0.65,0.69,0.58,0.66,0.46,0.41,0.55,0.39,0.58
d_1,1.15,1.0,0.89,0.88,0.85,0.81,0.84,0.53,0.58,1.03,0.59,0.62,0.63,0.61,0.57,0.47
e_1,0.72,1.12,1.0,1.04,0.98,0.98,0.65,1.0,0.74,0.58,0.66,0.66,0.68,0.52,0.68,0.64
c_1,1.01,1.14,0.96,1.0,1.38,0.96,0.58,0.46,0.78,0.6,0.55,0.62,0.65,0.6,0.46,0.6
b_1,1.01,1.17,1.02,0.73,1.0,1.21,0.88,0.71,0.63,0.7,0.61,0.58,0.71,0.58,0.73,0.64
a_1,1.54,1.23,1.02,1.04,0.83,1.0,0.85,0.78,0.91,0.76,0.69,0.73,0.71,0.59,0.76,0.59
h_1,1.53,1.2,1.5,1.77,1.2,1.21,1.0,0.81,1.11,0.9,0.92,0.91,0.91,0.76,0.79,0.9
d_0,1.54,1.77,0.96,2.09,1.4,1.38,1.26,1.0,0.77,0.85,1.03,0.89,0.87,0.75,0.89,0.94
g_1,1.5,1.76,1.35,1.39,1.54,1.07,0.92,1.24,1.0,0.9,1.05,1.22,0.87,0.94,0.99,0.86
c_0,1.82,0.95,1.77,1.67,1.36,1.19,1.13,1.2,1.11,1.0,1.5,0.97,1.18,0.84,0.87,0.85
b_0,1.56,1.62,1.48,1.88,1.49,1.43,1.07,0.94,0.98,0.67,1.0,0.88,1.0,1.24,1.01,0.79
f_0,2.45,1.56,1.42,1.61,1.67,1.29,1.09,1.14,0.85,1.04,1.07,1.0,0.89,0.99,1.32,0.68
h_0,2.4,1.56,1.45,1.6,1.41,1.35,1.12,1.15,1.15,0.91,1.0,1.12,1.0,0.77,0.92,1.26
a_0,1.89,1.59,1.84,1.71,1.77,,1.27,1.3,1.08,1.3,0.8,1.16,1.26,1.0,0.79,0.95
e_0,2.87,1.66,1.21,2.2,1.39,1.24,1.3,1.17,1.03,1.21,1.04,0.83,1.09,1.38,1.0,0.9
g_0,1.71,2.16,1.65,1.75,1.55,1.57,1.12,1.05,1.15,1.16,1.28,1.47,0.76,0.97,1.08,1.0
