,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,g_0,e_0,a_0
e_1,2.31,0.37,0.56,0.61,0.44,0.26,0.83,2.07,0.99,0.82,0.87,1.07,1.3,1.48,0.38,0.86
d_1,0.4,2.37,0.47,0.37,0.43,0.35,0.86,0.41,2.06,0.83,1.23,1.12,1.34,1.09,1.18,0.91
f_1,0.86,0.43,2.36,0.53,0.32,0.44,0.76,0.86,0.88,0.66,0.83,0.25,1.37,0.95,0.64,0.75
c_1,0.46,0.41,0.49,2.37,0.91,0.28,1.02,0.89,0.35,0.74,0.7,0.98,1.09,1.01,0.79,0.69
b_1,0.49,0.52,0.55,0.39,2.55,0.72,0.76,0.91,0.84,0.78,0.37,0.86,1.16,1.01,0.55,0.55
a_1,0.56,0.51,0.54,0.49,0.28,3.07,1.01,1.09,1.07,0.82,1.07,1.1,1.08,1.12,0.7,0.36
h_1,0.61,0.6,0.74,0.61,0.5,0.39,2.98,1.19,1.06,1.16,1.15,1.13,0.86,1.65,1.0,1.1
d_0,0.55,0.24,0.71,1.18,0.54,0.42,1.12,2.61,0.82,0.88,1.23,0.98,1.5,1.19,0.8,1.18
c_0,0.64,0.75,0.63,0.4,0.5,0.47,1.0,1.29,2.57,0.83,2.44,1.41,1.47,1.41,1.16,1.16
g_1,0.42,1.02,0.48,0.64,0.49,0.32,1.09,1.14,1.2,3.33,1.22,1.89,1.09,0.96,1.07,0.91
b_0,0.56,0.69,0.67,0.64,0.3,0.31,1.43,1.17,1.25,0.93,2.9,1.38,1.69,1.55,0.91,2.22
f_0,0.59,0.77,0.27,0.59,0.62,0.42,1.27,1.36,1.37,0.9,1.4,2.75,1.62,1.91,1.87,1.03
h_0,0.68,0.68,0.86,0.6,0.47,0.4,0.63,1.3,1.24,1.32,1.17,1.17,0.86,1.88,0.84,0.85
g_0,0.47,1.05,0.45,0.68,0.5,0.46,1.26,1.12,1.22,0.72,1.02,1.88,1.46,0.72,0.88,0.94
e_0,0.28,0.68,0.61,0.7,0.54,0.54,1.28,1.13,1.47,1.01,1.55,1.5,2.2,1.87,3.28,1.04
a_0,0.53,0.67,0.53,0.71,0.62,0.3,1.21,1.42,1.31,1.08,1.34,1.31,1.8,1.47,1.03,2.95
