,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.42,0.98,1.09,1.6,1.24,1.05,2.63,4.18,2.26,2.61,2.92,3.01,3.42,3.15,2.71,3.33
d_1,1.24,2.49,1.33,1.07,1.19,1.13,2.33,2.01,2.18,4.0,3.01,3.06,3.25,2.57,2.83,3.56
f_1,1.78,1.17,2.5,1.19,1.21,1.1,1.94,2.54,2.3,2.31,2.84,1.69,3.46,2.99,2.12,2.91
c_1,1.03,1.24,1.29,2.59,2.08,1.12,2.39,2.36,2.18,1.39,2.04,2.46,2.76,2.58,2.66,3.46
b_1,1.16,1.31,1.32,0.94,2.76,2.37,2.31,2.43,2.59,2.7,1.63,2.61,3.52,2.0,2.72,2.98
a_1,1.38,1.32,1.37,1.35,0.9,3.32,2.38,2.25,2.49,2.83,2.73,2.54,3.31,2.06,2.64,3.32
h_1,1.18,1.53,1.85,1.34,1.33,1.24,4.01,2.6,2.99,2.63,3.18,2.42,2.72,3.11,2.76,4.04
d_0,1.17,0.94,1.37,2.32,1.34,1.46,2.89,3.94,2.64,2.04,3.33,2.52,3.79,3.33,2.72,3.68
g_1,1.26,1.89,1.14,1.43,1.18,1.2,2.48,2.59,4.45,2.76,2.87,4.64,2.8,2.73,3.14,3.25
c_0,1.31,1.37,1.56,1.1,1.09,1.32,2.78,3.62,2.73,4.15,5.22,3.17,4.55,3.31,3.35,3.72
b_0,1.44,1.39,1.47,1.63,1.06,1.04,2.71,2.97,2.67,2.42,4.35,3.01,4.35,5.51,3.04,3.6
f_0,1.28,1.51,1.12,1.41,1.34,1.33,2.94,3.08,2.6,3.15,3.18,4.51,3.44,3.56,5.75,3.53
h_0,1.27,1.55,1.6,1.59,1.13,1.28,2.11,2.78,3.32,2.66,2.55,2.79,2.96,3.04,2.72,4.76
a_0,1.32,1.55,1.32,1.51,1.69,0.73,2.68,2.88,3.23,2.69,2.35,3.06,4.31,4.85,3.11,3.11
e_0,0.94,1.51,1.62,1.44,1.33,1.09,3.04,3.45,2.7,3.08,3.35,2.42,4.65,3.6,5.25,4.57
g_0,1.1,1.91,1.36,1.25,1.23,1.22,2.48,2.8,2.11,3.35,3.23,3.74,3.35,3.34,3.16,2.96
