,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,11.87,0.82,0.5,0.95,0.68,0.64,1.03,0.92,2.22,0.74,0.91,1.03,1.02,0.95,0.59,0.95
f_1,1.98,11.26,0.58,0.72,0.5,0.56,0.85,0.78,0.97,0.9,0.65,1.01,0.93,0.9,0.68,0.73
d_1,0.62,0.75,13.83,0.5,0.66,0.65,1.03,1.03,0.53,2.42,0.98,1.28,1.06,1.15,1.05,1.08
c_1,0.56,0.6,0.77,11.96,1.79,0.7,0.87,0.78,0.91,0.49,0.89,0.63,0.98,0.93,0.92,0.99
b_1,0.55,0.63,0.81,0.69,11.42,1.86,0.83,0.9,0.77,0.85,1.13,0.68,0.92,0.74,1.15,1.06
a_1,0.64,0.86,0.86,0.64,0.65,17.43,0.99,1.14,0.88,1.22,1.07,0.98,1.23,0.67,1.37,0.84
h_1,0.65,1.13,0.99,0.87,0.62,0.7,2.91,1.17,0.98,0.86,0.95,0.99,0.77,1.0,1.16,1.77
g_1,0.65,0.61,1.51,0.83,0.82,0.64,1.16,3.78,0.85,1.21,1.96,0.88,0.89,0.99,1.29,0.93
d_0,0.69,0.83,0.52,2.38,0.84,0.79,0.88,0.98,2.04,0.67,0.99,0.97,1.0,1.03,0.94,0.93
c_0,0.9,0.81,0.89,0.54,0.61,0.73,1.38,1.19,1.1,2.12,1.09,3.41,1.04,1.54,1.06,1.2
f_0,0.5,0.58,0.89,1.06,1.04,0.84,1.36,1.3,0.95,0.9,2.77,0.93,1.29,1.16,2.98,1.52
b_0,0.71,0.84,0.86,1.05,0.62,0.46,1.13,1.25,1.03,1.08,1.15,2.68,1.23,3.72,1.1,1.19
h_0,0.79,1.29,1.01,0.78,0.65,0.7,0.68,1.76,0.98,0.92,1.07,1.03,0.69,1.21,0.95,1.53
a_0,0.85,0.86,0.85,0.95,0.94,0.58,1.08,1.16,1.1,0.98,1.37,1.24,0.92,2.99,1.1,1.37
e_0,0.47,1.02,1.1,0.78,0.73,0.78,1.53,1.11,1.04,1.28,1.07,1.29,1.24,1.15,3.07,1.12
g_0,0.41,0.72,1.98,0.82,0.78,0.83,0.8,0.75,0.61,1.06,2.03,1.0,1.03,0.95,1.5,0.81
