,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,0.43,1.46,1.7,1.49,1.72,1.58,0.35,0.54,0.37,0.3,0.66,0.37,0.2,0.34,0.34,0.29
e_1,0.94,0.43,1.98,1.96,1.87,1.53,0.51,0.62,0.35,0.38,0.46,0.36,0.29,0.81,0.4,0.28
c_1,2.03,1.38,0.42,2.26,1.6,1.48,0.47,0.55,0.2,0.57,0.33,0.38,0.25,0.33,0.32,0.31
d_1,1.92,2.17,1.82,0.41,1.91,1.79,0.47,0.3,0.84,0.31,0.32,0.28,0.24,0.33,0.29,0.16
b_1,2.02,2.22,1.01,2.0,0.39,2.47,0.61,0.6,0.42,0.69,0.4,1.01,0.29,0.39,0.44,0.26
a_1,2.56,2.1,3.25,3.04,1.15,0.32,0.72,0.73,0.45,0.54,0.52,0.79,0.45,0.51,1.05,0.4
h_1,2.7,2.93,2.63,2.69,2.48,2.73,0.33,0.84,0.63,0.68,0.7,0.59,0.63,0.59,0.53,0.48
g_1,3.38,3.58,3.26,3.06,3.79,2.46,0.66,0.3,0.61,0.65,0.67,0.56,0.31,0.48,0.58,0.59
d_0,3.11,1.78,3.29,4.43,4.23,2.84,0.99,1.03,0.41,0.64,0.65,0.61,0.49,0.64,0.63,0.55
c_0,3.33,3.45,6.87,1.61,4.16,4.27,1.0,1.01,0.89,0.36,0.7,0.62,0.48,0.59,0.68,0.41
f_0,5.87,2.98,3.71,3.11,3.55,2.67,0.95,0.57,0.65,0.74,0.34,0.73,0.49,0.5,0.79,0.29
b_0,3.57,3.56,4.9,2.86,6.16,3.03,1.15,0.98,0.69,0.35,0.64,0.33,0.53,0.59,0.73,0.47
h_0,3.93,3.84,3.73,3.35,3.85,3.8,1.59,1.29,0.76,0.65,0.73,0.62,0.74,0.69,0.6,0.45
e_0,5.8,6.46,3.83,3.61,4.05,3.63,1.0,1.1,0.95,0.69,0.42,0.92,0.57,0.32,0.79,0.44
a_0,4.14,4.26,4.29,4.71,4.62,7.79,1.36,1.02,0.72,0.73,0.87,0.38,0.55,0.69,0.33,0.54
g_0,4.92,4.32,4.22,3.27,4.31,5.58,0.93,1.93,1.04,0.78,0.95,0.9,0.47,0.79,0.77,1.01
