,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,0.17,0.29,0.46,0.47,0.46,0.5,0.13,0.14,0.11,0.1,0.11,0.13,0.1,0.07,0.08,0.15
f_1,0.4,0.17,0.41,0.43,0.46,0.41,0.1,0.18,0.1,0.09,0.09,0.14,0.09,0.05,0.07,0.08
d_1,0.57,0.43,0.15,0.46,0.44,0.44,0.13,0.08,0.13,0.08,0.09,0.08,0.07,0.06,0.04,0.08
c_1,0.39,0.45,0.54,0.15,0.45,0.35,0.12,0.12,0.06,0.14,0.1,0.08,0.1,0.07,0.07,0.08
b_1,0.48,0.51,0.46,0.26,0.13,0.47,0.13,0.13,0.1,0.13,0.17,0.1,0.11,0.07,0.06,0.08
a_1,0.57,0.46,0.43,0.54,0.23,0.09,0.18,0.12,0.11,0.09,0.11,0.1,0.16,0.07,0.08,0.08
h_1,0.39,0.37,0.39,0.4,0.46,0.32,0.06,0.1,0.09,0.09,0.09,0.07,0.08,0.08,0.06,0.07
g_1,0.4,0.46,0.37,0.41,0.42,0.32,0.09,0.05,0.09,0.08,0.08,0.07,0.08,0.05,0.06,0.08
d_0,0.23,0.4,0.65,0.42,0.47,0.37,0.14,0.15,0.06,0.09,0.09,0.09,0.1,0.07,0.06,0.08
c_0,0.38,0.5,0.22,0.68,0.43,0.41,0.12,0.11,0.14,0.05,0.09,0.08,0.08,0.07,0.05,0.08
b_0,0.37,0.37,0.32,0.51,0.64,0.35,0.12,0.12,0.09,0.05,0.05,0.08,0.08,0.06,0.06,0.08
f_0,0.35,0.64,0.4,0.39,0.41,0.36,0.12,0.07,0.08,0.07,0.08,0.05,0.07,0.06,0.03,0.08
a_0,0.4,0.4,0.38,0.4,0.47,0.52,0.11,0.13,0.1,0.07,0.05,0.08,0.04,0.05,0.05,0.08
h_0,0.38,0.42,0.36,0.39,0.39,0.3,0.14,0.12,0.09,0.08,0.08,0.07,0.08,0.08,0.06,0.08
g_0,0.39,0.37,0.42,0.38,0.42,0.38,0.09,0.14,0.08,0.09,0.08,0.08,0.07,0.05,0.07,0.07
e_0,0.43,0.6,0.41,0.37,0.35,0.31,0.1,0.09,0.07,0.09,0.08,0.04,0.08,0.06,0.05,0.03
