,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,g_0,a_0,e_0
d_1,0.41,0.76,0.71,0.66,0.67,0.6,0.32,0.25,0.33,0.4,0.32,0.27,0.26,0.2,0.28,0.26
e_1,0.62,0.41,0.46,0.8,0.69,0.63,0.43,0.43,0.3,0.39,0.33,0.34,0.27,0.28,0.33,0.42
f_1,0.63,0.74,0.4,0.68,0.61,0.6,0.3,0.35,0.27,0.29,0.29,0.34,0.19,0.26,0.28,0.25
c_1,0.83,0.56,0.64,0.38,0.77,0.64,0.4,0.4,0.34,0.19,0.25,0.26,0.25,0.27,0.27,0.31
b_1,0.69,0.68,0.74,0.43,0.36,0.82,0.35,0.38,0.38,0.34,0.4,0.35,0.28,0.29,0.26,0.31
a_1,0.75,0.68,0.74,0.73,0.38,0.3,0.39,0.39,0.34,0.34,0.43,0.37,0.31,0.24,0.5,0.3
h_1,0.63,0.53,0.67,0.64,0.7,0.61,0.24,0.38,0.28,0.26,0.28,0.28,0.29,0.26,0.31,0.27
g_1,0.7,0.59,0.67,0.59,0.68,0.57,0.25,0.22,0.29,0.28,0.28,0.28,0.2,0.28,0.29,0.29
c_0,0.44,0.6,0.72,0.99,0.68,0.55,0.33,0.35,0.23,0.38,0.33,0.28,0.27,0.23,0.33,0.31
d_0,0.71,0.41,0.64,0.78,0.66,0.58,0.37,0.48,0.26,0.23,0.28,0.29,0.25,0.26,0.3,0.33
b_0,0.54,0.55,0.68,0.97,0.76,0.47,0.34,0.33,0.18,0.31,0.22,0.26,0.25,0.23,0.41,0.28
f_0,0.62,0.54,0.72,0.73,0.65,0.55,0.33,0.29,0.31,0.31,0.3,0.21,0.28,0.17,0.29,0.32
h_0,0.6,0.62,0.71,0.61,0.6,0.55,0.38,0.38,0.27,0.28,0.26,0.25,0.28,0.26,0.24,0.25
g_0,0.62,0.57,0.68,0.66,0.64,0.71,0.27,0.37,0.28,0.29,0.27,0.32,0.18,0.26,0.28,0.27
a_0,0.61,0.57,0.67,0.73,0.88,0.74,0.32,0.3,0.23,0.27,0.17,0.26,0.29,0.23,0.19,0.28
e_0,0.66,0.65,0.76,0.59,0.61,0.59,0.32,0.3,0.28,0.26,0.28,0.18,0.25,0.21,0.3,0.19
