,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,105.4,67.09,106.06,116.13,130.86,279.73,8171.99,16505.23,23619.27,32502.32,44903.85,37663.27,112165.94,138137.38,158966.58,123066.6
d_1,66.4,118.68,70.4,85.11,132.4,283.06,8907.55,17588.12,34149.74,26086.68,51517.23,50871.76,106059.95,144319.04,177535.46,152137.48
e_1,59.65,65.35,120.66,124.3,130.26,272.45,8340.43,19900.75,22363.21,45540.98,46286.55,51884.73,123896.3,120180.57,167073.64,123060.75
c_1,51.81,65.33,54.48,165.21,187.72,247.2,6820.24,14991.34,13931.3,20425.26,26132.8,37604.23,87319.84,99586.99,144291.2,133309.97
b_1,49.78,57.33,55.6,73.28,200.98,407.43,6900.78,14185.79,16342.21,22058.81,28348.72,37641.22,83605.34,82478.21,122787.07,132210.01
a_1,43.28,48.74,47.41,66.67,68.78,384.32,5719.01,12785.62,13413.24,18082.83,32950.04,29154.76,74887.95,68093.43,109130.57,87261.33
h_1,20.03,18.19,19.46,28.2,34.15,74.04,3101.73,5372.72,6229.43,6853.37,10943.58,12327.34,24058.48,34434.8,51136.76,38925.89
g_1,12.22,19.39,12.27,20.83,28.63,50.65,1661.22,5625.45,5086.63,4965.82,9559.61,12741.46,23220.31,26095.66,29255.96,38528.14
c_0,12.93,14.0,12.93,21.36,22.55,56.65,1705.14,3800.18,5896.15,5893.06,14932.81,10079.58,23139.12,33404.78,31746.45,32509.07
d_0,10.58,8.8,10.55,32.77,26.68,54.31,1524.4,3826.57,3273.0,6848.58,8055.62,8759.38,20003.4,23097.31,31262.81,30881.34
b_0,9.72,12.17,10.94,20.21,15.19,35.21,1494.53,2848.53,3279.1,5120.61,9812.6,8205.72,19500.53,39438.64,28044.86,24896.34
f_0,9.3,11.65,10.21,17.89,19.42,48.95,1414.52,2635.45,3450.86,4732.08,6631.65,10169.1,18260.87,20830.84,25226.83,44580.05
h_0,8.68,9.84,8.29,14.17,17.27,34.59,914.28,2626.46,2877.46,3776.11,5859.23,5534.68,11908.61,17804.1,26604.66,19515.91
a_0,6.8,7.66,7.94,13.13,15.39,25.8,999.47,2140.94,2356.22,3469.95,4354.87,5955.41,14136.69,22446.49,19142.43,20765.02
g_0,6.84,9.61,7.25,11.2,16.08,30.17,850.79,1848.99,2859.77,3244.38,4693.11,6939.18,10590.37,16136.14,16754.48,19295.41
e_0,6.76,8.6,6.9,11.63,15.29,31.81,1000.72,1749.99,2318.72,2888.75,5041.51,4085.82,11778.7,14131.86,17500.92,25174.7
