,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,2.27,1.16,0.91,1.3,0.95,0.81,2.05,3.55,1.78,1.89,2.04,2.09,2.73,1.44,1.64,2.42
f_1,1.71,2.35,0.9,1.03,0.99,0.73,1.68,2.18,1.54,1.92,2.17,1.29,2.54,1.23,1.85,2.05
d_1,1.11,1.14,2.51,0.84,0.83,0.69,2.11,1.62,1.89,3.69,2.59,2.27,2.96,2.15,2.13,2.42
c_1,0.97,1.07,1.03,2.51,1.77,0.86,1.9,1.8,1.64,1.34,1.42,1.88,2.53,1.48,1.45,2.21
b_1,1.07,1.04,0.99,1.03,2.61,1.63,1.87,2.17,1.75,1.87,1.54,2.21,2.95,1.54,1.29,2.26
a_1,1.05,1.23,1.07,1.06,0.92,3.19,1.97,2.04,1.76,2.27,2.11,2.1,2.62,1.78,1.13,2.69
h_1,1.19,1.44,1.15,1.08,1.03,0.73,3.48,2.28,2.38,2.26,2.1,1.9,2.28,1.81,1.62,2.98
d_0,1.02,1.17,0.83,1.85,1.17,0.83,1.98,3.29,1.64,1.56,1.88,2.41,2.76,1.91,1.76,2.53
g_1,1.1,1.1,1.63,0.94,0.97,0.8,1.8,2.05,3.8,2.49,2.23,3.21,2.96,2.08,2.04,2.4
c_0,1.25,1.31,1.26,0.87,0.85,0.77,2.38,2.26,1.97,3.4,3.88,2.23,2.97,2.1,2.76,2.35
b_0,1.41,1.3,1.26,1.14,0.64,0.65,2.23,2.64,2.01,2.52,3.6,2.26,3.14,2.17,4.27,2.37
f_0,1.05,1.13,1.27,1.05,1.09,0.92,2.47,2.47,2.13,2.47,2.39,3.55,3.1,3.76,1.57,2.92
h_0,1.18,1.57,1.24,1.06,1.0,0.75,1.61,2.21,2.33,2.18,2.15,2.31,2.23,1.9,2.09,3.37
e_0,1.07,1.48,1.15,1.1,1.02,0.78,2.45,2.34,1.92,2.35,2.26,2.5,3.07,4.12,1.94,2.66
a_0,1.2,1.38,1.28,1.05,0.92,0.41,2.29,2.52,2.31,2.54,2.29,2.41,3.14,2.22,3.97,2.59
g_0,1.15,1.05,1.63,1.1,1.17,0.81,2.11,1.73,1.52,2.42,2.03,3.28,2.59,1.99,1.73,2.06
