,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.0,0.78,0.83,1.04,0.96,0.68,0.46,0.6,0.46,0.38,0.42,0.46,0.29,0.33,0.34,0.33
f_1,1.27,1.0,0.96,0.93,0.77,0.6,0.39,0.4,0.47,0.39,0.34,0.32,0.36,0.29,0.27,0.3
d_1,1.2,1.05,1.0,0.88,0.8,0.76,0.55,0.44,0.37,0.56,0.45,0.35,0.37,0.35,0.34,0.27
c_1,0.96,1.08,1.15,1.0,1.23,0.71,0.56,0.31,0.41,0.34,0.34,0.36,0.32,0.37,0.32,0.35
b_1,1.05,1.29,1.25,0.81,1.0,1.15,0.56,0.49,0.51,0.52,0.39,0.44,0.35,0.4,0.4,0.3
a_1,1.49,1.63,1.3,1.41,0.88,1.0,0.78,0.54,0.66,0.61,0.65,0.52,0.44,0.5,0.4,0.46
h_1,2.13,2.5,1.9,1.85,1.83,1.22,1.0,0.82,0.86,0.75,0.71,0.64,0.66,0.69,0.59,0.7
d_0,1.65,2.38,2.27,3.31,2.1,1.89,1.19,1.0,1.09,0.76,0.91,0.82,0.85,0.86,0.76,0.73
g_1,2.07,1.98,2.71,2.46,2.09,1.61,1.17,0.89,1.0,1.0,0.82,1.07,0.9,0.68,0.77,0.79
c_0,2.57,2.51,1.83,2.94,1.79,1.57,1.39,1.26,1.04,1.0,1.39,0.91,0.97,0.81,0.76,0.87
b_0,2.37,2.92,2.25,3.01,2.56,1.53,1.44,1.05,1.16,0.73,1.0,0.93,1.4,0.93,0.77,0.79
f_0,2.1,3.58,2.75,2.75,2.46,1.81,1.54,1.13,0.95,1.08,1.08,1.0,0.97,0.92,1.29,0.7
a_0,3.45,2.75,2.56,3.02,3.09,2.45,1.58,1.25,1.17,1.02,0.74,1.06,1.0,1.03,0.96,0.86
h_0,3.04,3.46,2.91,2.77,2.47,1.85,1.37,1.22,1.42,1.16,1.11,1.06,0.99,1.0,0.84,1.08
e_0,2.95,3.91,2.81,3.25,2.56,2.41,1.61,1.33,1.3,1.4,1.38,0.81,1.03,1.2,1.0,0.95
g_0,2.99,3.48,3.72,2.84,3.37,2.16,1.42,1.38,1.24,1.23,1.25,1.41,1.16,0.95,1.09,1.0
