,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.86,1.16,1.41,1.68,3.31,19.06,35.42,32.52,33.25,41.45,49.63,70.47,97.11,116.11,113.46
f_1,1.13,1.0,1.09,1.27,1.54,3.21,13.71,25.59,29.19,30.22,35.74,39.58,56.79,78.3,76.29,104.05
d_1,0.86,0.93,1.0,0.89,1.34,2.61,15.0,21.43,20.79,37.26,34.8,35.85,58.54,76.0,86.42,68.83
c_1,0.71,0.79,1.13,1.0,1.65,2.62,16.41,15.45,24.23,27.39,27.38,36.86,59.42,73.52,81.52,73.57
b_1,0.6,0.65,0.74,0.61,1.0,2.83,12.65,16.44,15.85,23.61,26.68,26.45,38.64,52.62,61.43,65.38
a_1,0.29,0.31,0.38,0.38,0.36,1.0,6.34,8.88,9.35,10.52,14.7,14.8,21.25,26.55,30.05,32.3
h_1,0.05,0.07,0.07,0.06,0.08,0.16,1.0,1.37,1.69,1.61,2.16,2.06,3.82,4.76,4.49,5.57
d_0,0.03,0.04,0.05,0.06,0.06,0.12,0.74,1.0,1.12,1.09,1.46,1.77,2.58,3.21,3.56,4.18
g_1,0.03,0.03,0.05,0.04,0.06,0.11,0.59,0.89,1.0,1.13,1.29,1.96,2.01,3.11,3.47,3.61
c_0,0.03,0.03,0.03,0.04,0.04,0.09,0.6,0.85,0.84,1.0,1.62,1.41,1.84,2.85,3.32,2.84
b_0,0.02,0.03,0.03,0.04,0.04,0.07,0.47,0.67,0.8,0.63,1.0,1.03,1.69,3.25,2.48,2.29
f_0,0.02,0.03,0.03,0.03,0.04,0.07,0.48,0.59,0.53,0.7,0.94,1.0,1.42,2.27,3.26,1.88
h_0,0.01,0.02,0.02,0.02,0.02,0.05,0.27,0.38,0.5,0.53,0.59,0.7,1.0,1.25,1.36,1.67
a_0,0.01,0.01,0.01,0.01,0.02,0.04,0.22,0.31,0.36,0.35,0.32,0.48,0.76,1.0,1.1,1.2
e_0,0.01,0.01,0.01,0.01,0.02,0.03,0.22,0.28,0.26,0.31,0.41,0.33,0.75,0.9,1.0,0.98
g_0,0.01,0.01,0.01,0.01,0.02,0.03,0.18,0.23,0.28,0.33,0.45,0.55,0.6,0.86,1.01,1.0
