,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
f_1,5.74,4.49,2.55,2.96,2.58,2.35,9.71,14.12,11.49,10.63,13.04,9.52,19.74,14.14,10.95,16.91
e_1,3.16,6.08,2.5,3.28,2.83,3.06,10.78,21.86,11.15,10.15,14.69,13.13,21.94,13.51,13.17,19.15
d_1,2.9,2.85,7.02,2.41,2.62,2.81,10.42,10.38,24.17,11.32,16.46,14.95,20.6,17.06,16.69,23.03
c_1,2.67,2.53,2.75,6.98,5.02,3.33,9.36,11.5,8.96,8.07,9.24,13.41,19.05,13.15,15.82,19.17
b_1,2.54,2.62,2.87,3.21,7.37,5.37,10.55,12.79,11.48,10.23,10.71,14.1,20.69,10.53,14.98,22.35
a_1,2.95,2.78,3.46,2.98,2.71,10.92,11.69,12.99,12.95,11.9,12.59,13.54,20.53,11.09,15.83,19.63
h_1,3.83,2.9,3.44,3.37,2.6,2.48,18.84,13.14,12.11,14.52,14.13,13.7,15.37,17.58,16.19,25.08
d_0,3.09,2.59,2.16,5.21,3.42,3.06,11.4,18.94,9.6,11.98,12.5,15.32,22.39,15.46,15.66,19.69
c_0,3.21,3.37,3.3,3.12,2.39,3.17,11.61,13.24,20.72,11.79,26.27,13.87,22.48,22.5,17.43,23.85
g_1,2.87,2.87,4.68,3.24,2.92,2.75,10.74,12.31,13.75,23.55,14.86,21.69,22.21,13.52,16.43,18.08
b_0,3.37,2.83,3.48,3.54,2.14,3.17,11.28,14.88,13.88,12.11,23.39,12.63,24.13,30.1,15.4,20.2
f_0,2.55,2.21,3.76,3.32,3.24,3.45,14.12,12.31,15.67,12.68,16.46,26.48,22.64,19.5,35.22,25.45
h_0,3.63,3.02,3.27,3.06,2.94,3.4,8.66,12.93,11.87,14.6,15.06,14.75,16.95,13.01,14.64,25.85
a_0,3.28,3.05,3.29,3.22,3.01,2.23,11.99,13.07,13.56,13.43,17.25,14.38,25.17,28.26,14.26,22.7
e_0,3.27,2.26,3.47,3.35,3.42,3.54,12.34,11.01,14.4,12.46,15.52,11.93,25.05,17.69,30.52,27.15
g_0,2.88,2.37,4.92,3.02,2.64,3.31,11.98,10.75,15.14,9.65,16.36,21.84,20.45,16.71,21.09,21.64
