,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,10898.68,5619.84,5054.5,7407.06,9184.39,52807.99,7129196.21,21561442.8,17851003.09,24883040.3,41888662.33,43806960.35,163015687.09,186602957.13,323804976.47,189254362.55
f_1,7267.04,15323.41,5590.6,6419.7,7669.07,33876.03,5281615.08,14705458.05,16379953.79,24650306.84,41298660.16,26082254.52,161463649.92,177244457.07,301606993.25,161227240.61
d_1,3846.45,5999.42,17789.73,5096.91,8692.25,44344.92,7056990.13,9666227.67,17235411.84,42014373.69,49246019.65,47485544.82,190479916.62,194159107.49,354095221.76,339961462.07
c_1,3756.43,5297.66,5728.52,18940.79,16032.19,49823.26,6221645.65,12574953.56,14911982.88,13213994.41,30015851.03,36004928.02,175971642.9,148082826.06,299564379.0,292263853.37
b_1,3546.24,5138.3,6088.25,6264.13,30482.84,88237.22,6227610.8,11662650.3,16194346.69,23423917.18,26061058.66,48244712.43,163534568.55,119594701.45,278773590.02,321098296.82
a_1,3437.95,5291.03,6830.63,7448.22,10730.85,217677.18,6371627.13,13511987.49,16832319.03,27760661.52,42247637.23,48565746.38,181438303.93,139662070.3,323611333.83,283199352.85
h_1,4002.95,8144.09,7530.09,6521.85,8597.04,39734.85,14651304.85,14745477.45,24739548.39,26329722.93,39535347.71,46757118.14,137370037.66,219103953.04,557606961.64,316062940.92
d_0,4314.36,6006.78,4600.31,12875.3,10926.73,49705.1,6201950.27,23399457.57,16603554.35,18197597.36,39856055.71,43575240.36,207406922.82,172831138.56,334275408.99,257795628.62
g_1,3900.97,4903.42,9827.63,7347.68,9657.58,43044.47,6680201.88,12417826.82,49456493.55,26589232.33,45690584.14,77673328.52,184811120.51,222137091.96,342114525.42,373944179.69
c_0,4733.13,6641.04,6828.78,6148.81,8498.21,53231.36,7141333.62,16371769.87,21640994.92,44136961.41,90386596.67,54356682.16,218496703.19,263687116.98,426896522.46,322531172.73
b_0,5194.22,6598.92,6808.61,7908.97,7578.15,28162.99,8499246.59,14748068.32,24109083.85,24793304.97,85432850.68,54234125.4,234138899.36,442314071.42,375950769.17,272109462.4
f_0,3148.39,4372.45,8732.4,8091.2,10786.55,52462.37,7501038.81,14688151.08,22440579.49,25630929.43,45046044.52,90315941.77,218511928.11,202127203.28,426477148.46,774519522.95
h_0,4567.96,8257.36,7077.81,7024.88,10942.9,42329.25,5046493.17,12833048.02,26132833.8,24230426.01,45215390.55,46941549.3,152264510.15,197318995.46,448884813.03,318639002.51
a_0,4150.82,7544.58,8012.91,7471.05,8224.77,25936.13,8755174.18,15105101.59,22369285.85,28649833.62,50774855.45,58061995.73,248606532.98,467487708.97,506413747.46,300563175.19
g_0,3595.87,5353.06,12010.32,6991.43,10624.16,48593.6,6226667.16,10696339.12,15428706.96,27322281.16,43197302.49,76148963.47,188605917.83,161081225.0,335826318.7,376246053.81
e_0,3108.17,7315.19,8413.41,7464.37,10065.08,44089.51,8713789.43,12860325.38,22777322.88,27910574.45,50029499.78,51777638.55,214724571.32,200657799.08,454972070.04,757704804.49
