,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.66,1.0,0.87,0.96,0.91,0.75,0.33,0.44,0.31,0.32,0.31,0.36,0.21,0.26,0.25,0.28
e_1,0.72,0.66,0.92,1.03,0.99,0.86,0.43,0.42,0.32,0.42,0.34,0.38,0.27,0.33,0.39,0.29
d_1,1.06,1.11,0.63,0.94,0.94,0.79,0.45,0.32,0.38,0.45,0.34,0.33,0.27,0.33,0.29,0.2
c_1,1.01,0.83,1.14,0.63,1.03,0.96,0.43,0.48,0.4,0.24,0.35,0.37,0.32,0.32,0.34,0.27
b_1,1.1,0.99,1.14,0.71,0.61,1.19,0.52,0.48,0.49,0.37,0.53,0.41,0.32,0.32,0.41,0.3
a_1,1.43,1.35,1.27,1.06,0.75,0.56,0.61,0.56,0.52,0.5,0.52,0.41,0.38,0.54,0.51,0.42
h_1,1.77,1.71,1.52,1.63,1.45,1.2,0.53,0.8,0.56,0.57,0.54,0.53,0.62,0.51,0.52,0.49
g_1,1.82,2.0,1.69,1.58,1.56,1.33,0.61,0.51,0.68,0.66,0.63,0.7,0.45,0.63,0.55,0.52
c_0,2.02,2.01,1.23,1.99,1.66,1.39,0.76,0.65,0.54,0.85,0.75,0.66,0.58,0.63,0.67,0.46
d_0,1.8,1.27,1.81,2.25,1.84,1.53,0.85,1.02,0.61,0.56,0.68,0.61,0.6,0.61,0.57,0.49
b_0,2.11,2.0,1.63,1.99,1.74,1.37,0.81,0.66,0.43,0.66,0.53,0.61,0.56,0.71,0.59,0.49
f_0,2.17,1.92,1.8,1.94,1.86,1.65,0.86,0.59,0.65,0.85,0.75,0.5,0.62,0.75,0.73,0.42
h_0,2.4,2.01,2.0,1.91,1.87,1.76,0.85,0.9,0.68,0.69,0.74,0.68,0.64,0.63,0.69,0.57
a_0,2.34,1.98,1.9,2.36,2.54,1.96,0.9,0.81,0.63,0.76,0.52,0.8,0.63,0.53,0.59,0.5
e_0,2.94,2.32,2.29,1.92,2.23,1.58,0.9,0.86,0.76,0.85,0.77,0.45,0.66,0.96,0.49,0.5
g_0,2.25,2.12,2.41,2.45,2.24,1.88,0.88,0.98,0.8,0.84,0.79,0.83,0.59,0.72,0.85,0.66
