,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,b_0,d_0,f_0,h_0,a_0,e_0,g_0
d_1,1.0,1.05,1.05,0.85,0.87,0.73,0.46,0.39,0.57,0.47,0.47,0.38,0.35,0.34,0.32,0.27
f_1,0.97,1.0,1.23,0.96,0.84,0.74,0.45,0.45,0.4,0.4,0.44,0.35,0.31,0.34,0.29,0.31
e_1,0.91,0.82,1.0,1.14,0.9,0.74,0.52,0.52,0.44,0.41,0.57,0.45,0.39,0.35,0.39,0.34
c_1,1.2,1.07,0.86,1.0,1.26,0.82,0.55,0.5,0.42,0.37,0.32,0.41,0.37,0.37,0.34,0.32
b_1,1.17,1.18,1.09,0.82,1.0,1.27,0.56,0.51,0.56,0.47,0.38,0.43,0.43,0.37,0.38,0.37
a_1,1.33,1.38,1.33,1.21,0.8,1.0,0.69,0.63,0.6,0.69,0.61,0.48,0.52,0.52,0.48,0.43
h_1,2.13,2.29,1.91,1.85,1.78,1.45,1.0,1.05,0.83,0.8,0.73,0.78,0.69,0.68,0.64,0.71
g_1,2.5,2.27,1.92,1.96,1.92,1.57,0.93,1.0,0.99,0.88,0.79,0.98,0.74,0.71,0.75,0.67
c_0,1.8,2.48,2.2,2.37,1.74,1.69,1.14,0.97,1.0,1.29,1.08,0.93,0.88,0.95,0.8,0.77
b_0,2.09,2.55,2.48,2.62,2.09,1.5,1.2,1.08,0.79,1.0,1.04,0.9,0.87,1.01,0.81,0.74
d_0,2.1,2.2,1.8,3.12,2.69,1.63,1.4,1.24,0.89,0.91,1.0,1.02,0.86,0.83,0.94,0.79
f_0,2.66,2.79,2.21,2.53,2.34,1.97,1.28,1.01,1.09,1.13,1.01,1.0,0.95,0.85,1.32,0.71
h_0,2.77,3.07,2.57,2.82,2.47,1.82,1.43,1.39,1.12,1.18,1.13,1.09,1.0,0.91,0.98,1.01
a_0,2.91,2.88,2.78,2.92,2.67,1.84,1.41,1.34,1.1,0.94,1.21,1.2,1.13,1.0,0.9,1.0
e_0,3.09,3.54,2.78,3.09,2.59,2.11,1.5,1.26,1.22,1.25,1.06,0.78,1.03,1.12,1.0,0.96
g_0,3.66,3.09,3.01,3.01,2.71,2.34,1.41,1.5,1.3,1.37,1.22,1.42,0.98,0.97,1.02,1.0
