,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,2.01,0.77,0.67,0.96,0.72,0.66,0.93,0.99,0.83,1.67,1.04,1.05,1.03,0.97,0.77,0.85
f_1,1.2,2.02,0.73,0.74,0.69,0.66,0.84,0.86,0.81,0.91,0.99,0.59,0.9,0.87,0.57,0.86
d_1,0.73,0.8,2.15,0.56,0.8,0.67,0.99,0.98,1.75,0.6,1.08,1.02,0.99,1.0,1.08,1.11
c_1,0.73,0.72,0.81,2.42,1.26,0.75,0.84,0.79,0.43,0.9,0.81,0.89,0.9,0.82,0.92,0.98
b_1,0.7,0.74,0.75,0.71,2.58,1.51,0.97,0.89,0.87,0.86,0.49,0.98,0.62,1.03,0.95,0.89
a_1,0.76,0.78,0.76,0.83,0.69,3.58,1.05,1.03,1.01,0.92,0.91,0.97,0.71,1.11,0.98,1.0
h_1,0.74,1.2,0.97,0.8,0.58,0.72,1.93,1.35,1.08,0.84,1.05,1.1,1.11,0.81,1.11,1.4
g_1,0.77,0.78,1.22,0.88,0.69,0.68,1.0,2.15,1.11,1.02,1.07,1.53,1.01,1.19,1.29,0.86
c_0,0.84,0.93,0.98,0.66,0.73,0.63,1.15,1.14,1.76,0.93,2.0,1.27,1.33,1.21,1.33,1.21
d_0,0.8,0.84,0.56,1.69,0.81,0.61,0.97,1.03,0.66,1.68,1.01,1.1,1.04,1.18,1.12,1.09
b_0,0.78,0.95,1.02,0.85,0.52,0.54,1.29,1.14,0.99,0.93,1.87,1.18,2.41,1.28,1.27,1.26
f_0,0.68,0.88,0.9,0.88,0.76,0.74,1.18,1.01,1.14,1.08,1.39,1.94,1.37,1.26,2.65,1.42
a_0,0.79,0.86,0.94,0.88,0.78,0.59,1.29,1.02,1.22,0.89,1.23,1.33,2.12,1.41,1.3,1.02
h_0,0.7,1.13,0.98,0.88,0.86,0.69,0.83,1.34,1.05,0.99,0.98,0.93,1.2,0.74,1.18,1.31
e_0,0.58,1.11,0.85,0.76,0.89,0.95,1.26,0.97,1.05,0.89,1.22,0.96,1.23,1.41,2.72,1.29
g_0,0.6,0.83,1.24,0.78,0.83,0.7,1.07,0.81,1.09,0.74,1.25,1.74,1.37,1.14,1.28,0.94
