,c_1,f_1,d_1,e_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
c_1,6.16,1.51,1.25,1.49,2.97,1.16,5.62,5.16,6.79,2.46,7.86,5.16,11.41,7.42,6.56,10.05
f_1,1.58,6.18,1.72,2.64,1.23,1.09,5.45,5.2,6.37,6.81,3.0,7.77,9.69,3.83,8.01,8.58
d_1,1.19,1.73,6.38,1.28,1.42,1.37,6.33,5.79,3.76,14.55,8.54,10.51,11.04,8.67,8.46,11.62
e_1,1.82,1.57,1.25,6.52,1.59,1.45,4.75,5.42,13.85,6.59,7.64,7.58,11.6,3.83,7.55,12.29
b_1,1.46,1.55,1.42,1.51,7.03,3.36,5.93,4.48,6.79,6.08,7.19,3.01,10.6,6.88,6.27,9.46
a_1,1.92,1.68,1.35,1.27,1.39,10.82,5.38,6.3,7.4,7.27,7.97,6.98,11.04,9.86,4.21,11.73
h_1,1.85,2.6,2.01,1.64,1.5,2.05,16.0,9.17,7.57,9.25,7.71,9.34,8.48,8.2,9.57,16.15
g_1,1.67,1.61,3.07,1.58,1.68,1.43,7.02,19.01,7.79,8.74,14.42,8.86,12.21,11.17,8.76,9.68
d_0,3.65,1.82,1.02,1.88,1.81,1.74,5.71,6.29,15.96,5.65,9.6,8.37,12.5,8.87,9.11,12.98
c_0,1.45,2.01,2.22,1.74,1.27,1.77,7.46,7.44,8.6,17.49,10.08,20.77,15.21,10.69,10.34,16.27
f_0,2.14,1.11,2.34,1.54,1.95,2.13,7.13,6.25,7.45,9.27,19.31,10.9,13.34,19.04,10.69,14.17
b_0,1.86,2.47,2.14,1.8,1.09,1.31,7.14,7.15,9.61,9.04,7.58,19.24,16.56,10.4,20.75,15.68
h_0,1.79,2.54,2.01,1.87,1.66,1.66,4.89,9.92,9.1,8.4,9.01,8.63,8.59,9.39,10.48,18.88
e_0,2.01,2.4,2.28,0.83,1.97,1.72,8.5,8.0,6.96,6.74,8.51,9.67,15.87,26.04,9.66,14.09
a_0,2.0,2.05,2.36,1.62,1.68,1.27,7.58,7.32,8.03,7.99,7.41,7.95,14.14,9.49,24.99,14.66
g_0,2.15,1.54,2.85,1.55,1.87,1.52,5.68,4.5,7.79,9.83,13.27,9.75,14.12,9.33,9.96,9.77
