,f_1,c_1,e_1,b_1,d_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,0.45,4.37,3.73,3.81,4.46,3.87,0.92,0.85,0.74,1.46,0.87,3.55,0.67,0.38,0.74,0.77
c_1,4.0,0.43,3.83,4.26,8.82,4.68,1.06,0.42,2.96,1.15,0.91,0.72,1.1,0.57,0.86,0.71
e_1,2.7,4.75,0.43,4.7,4.21,5.29,1.24,0.95,0.95,1.41,0.92,1.1,0.74,0.76,5.74,0.74
b_1,5.4,2.29,4.66,0.41,4.45,5.05,1.84,1.13,1.27,1.48,3.04,0.85,1.07,0.69,0.81,0.65
d_1,5.07,4.93,6.23,4.45,0.41,3.28,1.15,4.85,1.02,0.75,0.91,0.95,1.07,0.8,0.93,0.43
a_1,6.15,6.03,6.88,3.35,5.12,0.34,1.8,1.36,1.0,1.76,1.43,1.13,4.44,0.93,1.15,0.86
h_1,5.16,6.39,3.97,5.55,5.63,4.56,0.34,1.12,1.01,2.13,1.13,0.96,1.13,2.68,0.88,0.69
d_0,5.96,4.82,2.94,6.57,12.98,7.81,1.65,0.46,1.24,1.6,0.85,0.89,1.19,0.61,1.17,0.67
c_0,5.02,26.86,5.62,6.36,2.76,6.8,1.58,1.58,0.42,1.51,1.05,1.08,1.2,0.95,1.05,0.82
g_1,5.96,5.78,6.3,5.17,5.61,5.83,1.35,1.42,1.23,0.31,1.14,1.03,1.31,0.82,1.04,2.38
b_0,4.94,10.76,5.81,17.77,4.51,6.22,1.74,1.73,0.65,1.89,0.4,1.02,1.32,0.83,1.19,1.03
f_0,17.21,8.87,7.56,5.94,4.22,5.25,1.88,1.22,1.11,1.2,1.16,0.38,1.27,0.95,1.2,0.55
a_0,6.67,9.54,6.81,9.11,5.83,12.02,2.46,1.74,1.11,2.16,0.68,1.63,0.35,1.11,1.49,1.02
h_0,6.46,6.72,7.11,8.86,6.82,8.49,3.91,1.4,1.45,1.95,1.36,1.47,1.14,2.61,1.34,0.97
e_0,8.1,8.85,36.15,6.09,6.59,6.81,2.94,1.42,1.38,2.12,1.26,0.83,1.17,1.03,0.35,0.81
g_0,8.35,7.78,7.32,8.59,7.36,7.39,1.71,1.67,1.56,5.05,1.08,1.63,1.85,1.04,1.11,2.46
