,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.29,0.9,0.42,0.47,0.44,0.33,0.81,0.74,0.74,0.8,0.88,0.35,1.22,0.67,0.52,0.85
e_1,0.56,2.32,0.38,0.55,0.42,0.32,0.95,1.08,0.82,1.97,1.04,0.94,1.34,0.83,0.36,1.06
d_1,0.52,0.45,2.4,0.33,0.47,0.4,1.03,2.03,0.79,0.57,1.18,1.29,1.19,0.91,0.99,1.18
c_1,0.52,0.4,0.5,2.43,0.84,0.24,0.69,0.31,0.69,0.88,0.73,1.08,1.03,0.85,0.72,1.06
b_1,0.46,0.42,0.54,0.48,2.49,0.76,0.94,0.82,0.76,0.83,0.45,0.95,1.23,0.55,0.88,1.23
a_1,0.49,0.41,0.59,0.58,0.37,3.06,1.07,1.26,0.82,1.02,1.05,0.81,1.36,0.44,0.65,1.19
h_1,0.79,0.52,0.7,0.48,0.59,0.45,3.02,1.01,1.06,1.08,1.18,0.98,0.93,0.84,0.81,1.82
c_0,0.72,0.65,0.65,0.39,0.4,0.46,1.14,2.67,0.71,1.07,2.45,1.23,1.46,1.15,1.23,1.12
g_1,0.53,0.53,1.03,0.55,0.48,0.41,0.88,1.32,3.34,0.98,0.89,1.77,1.59,1.06,0.95,0.86
d_0,0.72,0.58,0.25,1.19,0.45,0.46,0.9,1.03,0.86,2.43,1.16,1.11,1.33,1.04,0.76,1.2
b_0,0.72,0.66,0.64,0.65,0.31,0.26,0.67,1.26,1.1,1.32,2.78,1.05,1.77,2.4,1.23,1.5
f_0,0.4,0.53,0.63,0.73,0.66,0.45,1.13,1.15,0.93,1.38,1.21,2.71,1.53,1.13,2.21,1.22
h_0,0.91,0.55,0.59,0.6,0.52,0.47,0.59,1.17,1.32,1.36,1.38,0.95,0.96,0.99,0.88,1.97
a_0,0.78,0.65,0.64,0.64,0.55,0.16,1.22,1.15,0.76,1.26,1.14,1.14,1.34,3.02,1.03,1.49
e_0,0.69,0.35,0.6,0.69,0.64,0.35,1.13,1.23,1.07,1.23,1.32,0.81,1.54,0.93,3.24,1.75
g_0,0.55,0.56,1.03,0.65,0.53,0.39,1.16,1.24,0.4,1.02,0.99,1.97,1.24,0.96,0.96,0.93
