,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,1.09,1.54,2.34,3.06,2.61,2.19,0.7,0.82,0.57,0.5,0.7,0.51,0.35,0.7,0.39,0.51
f_1,2.41,1.09,2.28,2.59,2.34,2.08,0.54,0.82,0.56,0.49,0.68,0.48,0.27,0.53,0.41,0.45
d_1,3.07,2.73,1.08,2.61,2.48,2.34,0.61,0.47,0.79,0.45,0.45,0.5,0.35,0.51,0.25,0.45
c_1,2.09,2.66,3.39,1.09,2.36,2.61,0.72,0.65,0.3,0.61,0.51,0.52,0.38,0.5,0.38,0.5
b_1,2.79,2.83,3.26,1.81,1.1,2.7,0.94,0.91,0.57,0.85,0.61,0.84,0.47,0.64,0.49,0.61
a_1,4.54,5.21,4.83,3.71,2.38,1.13,1.29,1.31,0.96,1.04,0.89,1.05,0.66,0.76,0.66,1.11
h_1,9.13,9.76,8.72,10.72,9.71,8.16,1.53,2.74,2.17,1.94,1.92,2.03,1.55,1.68,1.33,1.64
g_1,10.69,12.7,10.41,11.27,10.72,10.03,2.47,1.6,2.18,1.89,2.33,2.1,1.21,1.95,1.74,1.73
d_0,7.92,12.2,15.71,13.14,12.85,10.61,4.0,4.12,1.85,2.35,2.84,2.71,1.83,2.85,2.02,2.49
c_0,13.81,12.6,8.49,18.57,14.68,11.08,3.42,3.26,3.56,1.82,2.82,2.67,2.17,2.89,1.7,2.6
f_0,12.66,16.03,12.76,13.62,15.13,11.65,3.44,2.43,2.55,2.43,1.84,2.45,2.03,2.55,1.24,2.34
b_0,13.13,14.0,11.25,19.33,19.11,12.52,3.81,3.5,3.5,1.72,3.05,1.87,2.04,2.67,2.08,2.49
h_0,17.45,18.36,17.34,18.36,16.75,16.52,5.61,4.72,3.82,3.38,4.16,3.3,3.25,3.62,2.72,2.98
e_0,22.63,28.7,16.9,19.67,18.4,16.94,6.03,4.32,4.59,3.9,2.18,3.6,3.13,1.94,2.45,2.96
g_0,21.25,26.07,18.81,24.26,21.6,17.68,4.56,5.97,4.56,4.16,4.01,4.38,2.63,4.07,3.09,4.01
a_0,19.16,21.34,19.14,21.73,27.86,26.53,6.22,5.37,4.34,3.5,3.93,2.49,2.73,4.35,3.18,2.12
