,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.93,0.17,0.12,0.1,0.07,0.07,0.07,0.05,0.07,0.06,0.06,,0.05,0.04,0.03,0.04
e_1,0.11,0.93,0.07,0.1,0.09,0.06,0.06,0.05,0.06,0.11,0.06,0.05,0.07,0.05,,0.05
d_1,0.1,0.13,0.93,0.09,0.08,0.08,0.08,0.06,0.1,,0.05,0.06,0.05,0.05,0.04,0.05
c_1,0.12,0.11,0.1,0.93,0.15,0.07,0.08,0.06,,0.06,0.06,0.05,0.07,0.04,0.05,0.05
b_1,0.15,0.12,0.1,0.1,0.93,0.09,0.07,0.07,0.07,0.06,,0.07,0.06,0.04,,0.05
a_1,0.11,0.1,0.1,0.1,0.12,0.93,0.1,0.08,0.09,0.1,0.07,0.06,0.07,,,0.06
h_1,0.37,0.29,0.25,0.22,0.28,0.15,0.71,0.28,0.17,0.17,0.2,0.14,,0.15,0.11,0.18
g_1,0.31,0.3,0.39,0.27,0.29,0.18,0.13,0.71,0.27,0.16,0.21,0.25,0.14,0.14,0.09,
c_0,0.43,0.4,0.31,,0.25,0.17,0.26,0.18,0.58,0.24,0.31,0.24,0.18,0.12,0.13,0.2
d_0,0.44,0.33,,0.55,0.35,0.18,0.27,0.17,0.18,0.57,0.18,0.15,0.27,0.14,0.13,0.18
b_0,0.42,0.45,0.42,0.27,,0.17,0.24,0.22,0.2,0.25,0.58,0.2,0.22,0.26,0.15,0.13
f_0,,0.39,0.34,0.31,0.27,0.34,0.26,0.16,0.2,0.25,0.23,0.59,0.29,,0.31,0.18
h_0,0.76,0.51,0.59,0.42,0.46,0.37,,0.31,0.31,0.22,0.28,0.18,,0.2,0.22,0.2
a_0,0.47,0.35,0.41,0.53,0.3,,0.25,0.18,0.32,0.3,0.15,,0.27,0.58,,0.2
e_0,0.56,,0.46,0.29,,,0.3,0.4,0.23,0.35,0.19,0.18,0.21,,0.58,
g_0,0.46,0.48,0.68,0.6,0.46,0.29,0.27,,0.28,0.32,0.36,0.29,0.32,0.2,,
