,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,1.0,1.24,1.08,0.94,0.81,0.92,0.66,0.59,0.56,0.62,0.58,,0.52,0.48,0.62,0.42
e_1,0.8,1.0,0.78,0.71,0.9,0.8,0.7,0.89,0.81,0.61,0.57,0.74,0.7,,0.68,0.53
c_1,0.93,1.28,1.0,1.14,1.43,1.05,0.72,0.49,0.67,,0.62,0.58,0.62,0.43,0.47,0.6
d_1,1.06,1.4,0.88,1.0,0.82,0.75,0.76,,0.58,0.91,0.79,0.51,0.67,0.65,0.57,0.45
b_1,1.23,1.11,0.7,1.21,1.0,1.48,0.61,0.81,0.67,0.7,,0.68,0.6,0.6,0.47,0.57
a_1,1.09,1.24,0.95,1.33,0.68,1.0,0.87,0.9,0.75,,0.69,0.85,0.85,0.63,,
h_1,1.52,1.43,1.38,1.32,1.63,1.15,1.0,0.89,1.02,1.08,0.8,0.81,,0.7,0.68,0.82
d_0,1.68,1.12,2.03,,1.23,1.11,1.12,1.0,0.98,1.11,0.83,0.72,0.9,1.0,0.8,0.88
g_1,1.78,1.24,1.5,1.74,1.49,1.33,0.98,1.02,1.0,1.02,0.95,0.99,0.76,0.82,0.84,
c_0,1.62,1.63,,1.1,1.43,,0.93,0.9,0.98,1.0,1.42,1.25,0.84,0.8,0.86,0.87
b_0,1.73,1.74,1.63,1.26,,1.44,1.26,1.21,1.06,0.7,1.0,0.95,0.87,0.99,1.45,1.01
f_0,,1.36,1.73,1.98,1.48,1.17,1.24,1.39,1.01,0.8,1.06,1.0,0.83,1.42,,0.67
h_0,1.91,1.43,1.6,1.5,1.66,1.18,,1.11,1.32,1.2,1.15,1.21,,1.14,,1.39
e_0,2.1,,2.31,1.54,1.66,1.58,1.42,1.0,1.23,1.25,1.01,0.7,0.88,1.0,,0.83
a_0,1.6,1.47,2.13,1.75,2.13,,1.47,1.25,1.2,1.17,0.69,,,,1.0,
g_0,2.41,1.9,1.68,2.22,1.76,,1.22,1.14,,1.15,0.99,1.49,0.72,1.2,,
