,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.15,78.02,90.45,82.89,74.65,108.65,15.23,19.31,16.22,16.59,18.66,,8.69,12.5,14.25,14.83
e_1,43.06,1.15,92.89,87.5,63.45,80.3,25.53,29.39,18.54,14.07,18.09,26.1,11.51,20.0,13.15,
d_1,90.21,107.0,1.15,90.0,66.79,76.96,27.12,17.79,20.28,,17.06,15.66,14.2,16.0,8.34,21.31
c_1,84.2,96.03,132.19,1.15,90.64,97.21,33.38,25.04,,10.11,21.32,18.9,12.53,23.53,14.87,21.31
b_1,122.23,156.04,118.52,67.02,1.16,108.65,25.53,48.29,27.04,22.31,,21.08,19.36,30.77,28.5,17.95
a_1,210.5,267.5,137.48,185.29,110.35,1.15,57.87,,30.9,30.81,42.64,34.25,28.4,,16.29,
h_1,88.12,104.03,98.2,92.65,126.9,83.95,2.0,21.81,13.52,17.49,14.21,20.3,,16.67,18.0,21.31
g_1,135.32,133.75,122.75,105.0,126.9,,21.17,2.0,22.38,35.94,21.32,27.4,13.74,23.53,,24.36
c_0,77.33,93.62,49.1,,141.0,123.13,28.0,28.17,2.98,20.22,28.43,17.12,12.91,28.57,10.06,18.94
d_0,102.41,48.64,,92.65,105.75,102.61,21.7,29.39,36.06,3.08,16.58,18.27,14.69,17.39,12.21,17.05
b_0,135.32,89.17,114.57,143.18,,115.44,28.93,27.04,10.82,23.96,3.0,21.08,12.91,25.0,13.15,20.06
f_0,,120.81,98.2,101.61,133.58,131.93,37.74,23.31,22.38,21.57,28.43,2.93,13.31,21.05,10.06,26.23
h_0,90.21,96.03,78.11,90.0,84.6,73.88,,30.73,18.03,21.57,21.32,21.08,,23.53,11.79,14.83
a_0,210.5,162.83,245.5,131.25,158.62,,45.68,48.29,43.27,49.77,16.58,22.83,22.42,2.99,21.38,22.73
g_0,164.74,162.83,122.75,136.96,133.58,115.44,24.11,,24.04,19.03,20.59,34.25,9.68,28.57,,
e_0,270.64,,180.89,225.0,211.5,,54.25,45.07,38.18,38.06,39.8,16.61,23.67,26.67,,3.02
