,f_1,c_1,e_1,b_1,d_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,10.36,0.69,1.46,0.56,0.7,0.62,0.9,0.92,0.87,0.96,1.04,0.51,1.06,0.98,0.71,0.89
c_1,0.63,12.39,0.6,1.86,0.74,0.66,0.8,0.84,0.45,0.93,0.53,0.9,0.75,0.93,0.97,0.9
e_1,0.82,1.0,11.5,0.67,0.54,0.57,1.1,2.59,0.89,0.85,1.01,0.91,1.02,1.01,0.55,0.93
b_1,0.69,0.65,0.57,11.39,0.75,1.73,0.94,0.78,0.8,0.93,0.63,0.93,0.65,0.83,1.11,0.87
d_1,0.61,0.48,0.7,0.6,14.83,0.77,0.94,0.57,2.72,0.92,1.48,1.36,1.18,0.97,1.14,1.15
a_1,0.77,0.68,0.73,0.6,0.76,17.62,1.05,0.82,0.96,0.94,0.96,1.17,0.61,1.0,1.11,1.19
h_1,1.17,0.97,0.78,0.68,0.86,0.69,3.28,0.93,0.95,1.5,1.07,1.04,0.96,0.86,0.94,1.44
d_0,0.85,2.44,0.62,1.11,0.48,0.48,0.95,1.9,0.65,0.94,0.76,1.05,0.94,1.28,1.28,1.04
c_0,0.83,0.58,0.82,0.54,0.99,0.78,1.23,1.03,2.65,0.99,3.34,1.39,1.94,1.41,1.3,1.14
g_1,0.71,0.73,0.7,0.65,1.84,0.59,0.75,0.82,1.26,3.92,1.08,1.84,1.2,1.14,1.11,0.82
b_0,1.1,0.96,0.69,0.47,0.88,0.59,1.18,1.12,1.29,1.15,2.66,1.2,3.81,1.3,1.21,1.23
f_0,0.75,0.91,0.61,0.77,0.88,0.89,1.11,1.15,1.28,0.98,1.25,2.67,1.17,1.29,2.81,1.1
a_0,1.12,0.95,0.83,0.81,0.71,0.58,1.22,1.26,0.88,1.26,1.35,1.09,3.05,1.43,1.25,0.92
h_0,1.45,0.8,0.61,0.77,0.92,0.71,0.65,1.01,0.84,1.42,1.2,0.95,1.22,0.86,1.14,1.41
e_0,1.12,0.88,0.53,0.76,0.95,0.75,1.27,0.84,1.03,0.95,1.18,1.03,1.12,1.33,3.15,1.33
g_0,0.65,0.75,0.51,0.7,1.6,0.9,1.13,0.91,1.33,0.78,1.35,2.06,1.05,1.34,1.73,0.91
