,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,0.17,0.27,0.47,0.54,0.51,0.41,0.13,0.11,0.16,0.1,0.1,0.13,0.07,0.1,0.07,0.17
f_1,0.42,0.16,0.41,0.48,0.47,0.39,0.1,0.09,0.14,0.08,0.1,0.12,0.05,0.08,0.08,0.09
d_1,0.47,0.46,0.16,0.55,0.46,0.49,0.12,0.18,0.08,0.09,0.09,0.09,0.06,0.08,0.04,0.08
c_1,0.4,0.45,0.6,0.14,0.43,0.41,0.15,0.05,0.13,0.14,0.1,0.09,0.06,0.08,0.06,0.07
b_1,0.5,0.53,0.55,0.24,0.13,0.44,0.15,0.09,0.14,0.16,0.18,0.09,0.07,0.1,0.07,0.09
a_1,0.46,0.59,0.54,0.41,0.23,0.1,0.13,0.12,0.16,0.11,0.12,0.11,0.09,0.2,0.07,0.08
h_1,0.4,0.44,0.37,0.39,0.35,0.38,0.05,0.09,0.13,0.07,0.08,0.08,0.09,0.08,0.06,0.09
d_0,0.26,0.38,0.72,0.38,0.41,0.39,0.12,0.06,0.13,0.1,0.08,0.09,0.06,0.08,0.07,0.09
g_1,0.47,0.43,0.33,0.44,0.45,0.36,0.09,0.1,0.04,0.08,0.09,0.08,0.05,0.07,0.08,0.07
c_0,0.42,0.43,0.21,0.71,0.42,0.47,0.12,0.15,0.1,0.05,0.09,0.09,0.07,0.07,0.07,0.09
b_0,0.38,0.37,0.35,0.51,0.65,0.46,0.11,0.09,0.11,0.05,0.05,0.08,0.05,0.07,0.06,0.07
f_0,0.4,0.65,0.4,0.4,0.36,0.36,0.11,0.09,0.07,0.08,0.08,0.04,0.05,0.07,0.04,0.08
h_0,0.39,0.39,0.38,0.42,0.41,0.35,0.16,0.08,0.11,0.08,0.07,0.08,0.08,0.06,0.06,0.07
a_0,0.43,0.41,0.33,0.39,0.53,0.57,0.11,0.08,0.11,0.07,0.05,0.08,0.06,0.04,0.06,0.08
g_0,0.38,0.48,0.37,0.4,0.48,0.37,0.08,0.09,0.15,0.07,0.08,0.07,0.05,0.08,0.06,0.09
e_0,0.57,0.52,0.41,0.39,0.33,0.35,0.11,0.08,0.09,0.07,0.07,0.04,0.06,0.07,0.04,0.03
