,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,g_0,a_0,e_0
f_1,2.6,0.56,1.22,0.66,0.52,0.54,0.86,0.69,0.89,0.73,0.38,0.81,0.87,0.86,0.93,0.56
d_1,0.75,2.7,0.63,0.51,0.61,0.48,0.84,1.0,0.5,1.78,1.07,1.23,1.09,0.99,1.06,1.01
e_1,0.68,0.54,2.65,0.72,0.65,0.72,0.88,0.91,1.61,0.91,1.0,1.02,1.08,0.94,0.97,0.57
c_1,0.67,0.65,0.56,2.79,1.23,0.45,0.89,0.77,0.83,0.33,0.84,0.7,0.96,0.93,0.86,0.97
b_1,0.69,0.64,0.59,0.68,3.02,1.25,0.99,0.84,0.84,0.88,0.95,0.44,0.86,0.98,0.7,1.05
a_1,0.7,0.79,0.56,0.73,0.52,4.58,0.85,1.01,0.96,0.95,1.15,1.03,0.99,0.88,0.33,0.95
h_1,1.05,0.82,0.69,1.0,0.73,0.66,2.65,1.28,1.11,1.02,1.01,1.13,0.59,1.64,1.05,1.43
g_1,0.65,1.34,0.71,0.82,0.63,0.75,0.99,3.16,0.85,1.2,1.73,1.2,1.12,0.68,0.85,1.3
d_0,0.77,0.55,0.76,1.51,0.83,0.73,1.25,1.16,2.04,0.79,0.87,1.11,1.04,1.13,1.27,1.16
c_0,0.78,0.93,0.72,0.53,0.66,0.93,1.21,1.39,1.29,2.26,1.4,2.29,1.34,1.32,1.55,1.49
f_0,0.47,1.04,0.63,0.81,0.89,0.87,1.26,1.48,1.09,1.29,2.44,1.33,1.25,1.21,1.33,2.59
b_0,0.87,0.97,0.64,0.98,0.42,0.65,1.21,0.99,1.18,1.08,1.25,2.34,1.4,1.34,2.71,1.49
h_0,1.11,0.94,0.74,0.77,0.81,0.72,0.65,1.43,0.97,1.09,1.31,1.23,0.71,1.48,1.2,1.03
g_0,0.67,1.27,0.75,0.81,0.67,0.77,1.2,0.8,0.98,1.26,1.83,1.26,0.92,0.7,1.39,1.29
a_0,0.79,0.95,0.77,0.75,0.81,0.5,1.34,1.07,1.26,1.0,1.39,1.11,1.41,1.39,3.39,0.94
e_0,0.73,1.01,0.39,0.9,0.89,0.81,1.43,1.37,1.11,1.08,1.29,1.41,1.4,1.47,1.45,3.42
