,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,g_0,e_0
e_1,3.55,0.41,0.29,0.47,0.4,0.37,0.91,1.39,0.73,0.73,0.98,0.76,1.0,0.95,0.81,0.22
f_1,0.72,3.64,0.39,0.37,0.42,0.4,0.71,0.73,0.76,0.57,0.84,0.15,0.78,0.8,0.66,0.4
d_1,0.36,0.42,4.19,0.33,0.31,0.38,0.71,0.15,1.61,0.94,0.86,1.0,0.98,0.76,1.01,0.86
c_1,0.38,0.42,0.38,4.56,0.66,0.33,0.79,0.88,0.13,0.57,0.57,0.9,0.69,0.95,0.93,0.93
b_1,0.38,0.48,0.42,0.33,5.16,0.65,0.72,0.9,0.92,0.75,0.18,0.55,0.82,0.55,0.82,0.93
a_1,0.35,0.44,0.41,0.41,0.38,7.12,0.79,0.87,0.8,0.84,0.75,0.65,0.96,0.14,0.89,1.0
h_1,0.61,0.94,0.68,0.69,0.68,0.76,4.77,1.35,1.24,1.46,1.33,1.58,0.67,1.13,1.94,1.3
d_0,0.77,0.71,0.32,1.35,0.63,0.53,1.19,3.35,1.21,1.25,1.49,1.86,1.82,1.23,1.42,1.52
c_0,0.71,0.79,0.86,0.26,0.56,0.71,1.53,1.46,3.76,1.3,2.72,1.88,1.71,1.95,1.85,1.6
g_1,0.71,0.5,1.17,0.74,0.54,0.52,1.04,1.07,1.46,7.06,1.39,2.73,1.18,0.99,0.46,1.75
b_0,0.69,0.74,0.91,0.71,0.32,0.53,1.48,1.19,1.27,1.29,4.43,1.83,2.0,3.16,2.1,1.75
f_0,0.52,0.19,0.87,0.87,0.92,0.75,1.07,1.42,1.28,1.88,1.89,4.86,1.9,1.66,1.55,4.06
h_0,0.64,1.0,0.73,0.8,0.53,0.76,0.36,1.28,1.3,1.75,1.57,1.14,0.55,1.02,1.86,1.91
a_0,0.73,0.66,0.97,0.67,0.71,,1.51,1.83,1.34,0.94,1.44,1.84,1.57,6.5,1.31,1.13
g_0,0.41,0.57,1.22,0.71,0.71,0.59,1.25,1.16,1.46,0.52,1.68,2.7,1.57,1.55,0.79,1.87
e_0,0.21,0.93,0.75,0.93,0.72,0.92,1.22,1.35,1.3,1.1,1.18,1.75,2.0,1.35,1.73,7.21
