,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,2.18,0.02,0.03,0.02,0.03,0.02,0.05,0.04,0.12,0.08,0.06,0.05,0.06,0.04,0.08,
f_1,0.06,2.21,0.03,0.02,0.02,0.03,0.05,0.04,0.06,0.06,0.06,,0.08,0.05,0.06,0.04
d_1,0.03,0.03,2.35,0.03,0.02,0.02,0.06,0.05,,0.11,0.04,0.06,0.09,0.04,0.07,0.03
c_1,0.03,0.02,0.03,2.36,0.05,0.02,0.07,0.05,0.08,,0.05,0.06,0.09,0.05,0.06,0.04
b_1,0.03,0.04,0.03,0.02,2.58,0.04,0.05,0.06,0.05,0.07,,0.08,0.06,0.03,0.05,0.05
a_1,0.03,0.03,0.03,0.03,0.03,3.12,0.05,0.05,0.07,0.06,0.05,0.07,0.09,,,
h_1,0.11,0.17,0.11,0.11,0.08,0.05,2.66,0.3,0.28,0.22,0.23,0.17,,0.17,0.22,0.21
g_1,0.1,0.11,0.16,0.1,0.08,0.1,0.26,2.91,0.15,0.15,0.26,0.31,0.35,0.16,,0.14
d_0,0.13,0.13,,0.31,0.16,0.11,0.26,0.18,1.95,0.31,0.26,0.24,0.41,0.32,0.34,0.24
c_0,0.15,0.17,0.14,,0.12,0.09,0.31,0.24,0.37,2.08,0.51,0.15,0.44,0.16,0.44,0.26
b_0,0.17,0.14,0.13,0.15,,0.08,0.39,0.27,0.24,0.26,2.14,0.34,0.41,0.47,0.27,0.23
f_0,0.12,,0.16,0.16,0.09,0.1,0.22,0.24,0.4,0.37,0.29,2.35,0.42,0.2,0.25,0.44
h_0,0.23,0.34,0.22,0.19,0.22,0.11,,0.47,0.36,0.44,0.42,0.39,,0.28,0.98,0.31
a_0,0.17,0.15,0.11,0.17,0.11,,0.21,0.24,0.4,0.35,0.22,0.31,0.32,2.72,0.4,
g_0,0.14,0.31,0.33,0.23,0.14,,0.37,,0.35,0.37,0.53,0.55,0.68,0.29,,0.44
e_0,,0.12,0.11,0.16,0.14,,0.35,0.22,0.45,0.33,0.37,0.33,0.38,,0.4,2.73
