,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,37.57,0.06,0.14,0.08,0.09,0.05,0.27,0.14,0.33,0.31,0.4,,0.61,0.34,0.34,0.57
d_1,0.07,37.66,0.05,0.05,0.06,0.07,0.41,0.31,0.73,,0.43,0.4,0.58,0.35,0.41,0.37
e_1,0.07,0.04,40.14,0.07,0.07,0.05,0.23,0.25,0.36,0.77,0.3,0.49,0.6,0.37,,0.56
c_1,0.09,0.07,0.05,42.33,0.14,0.05,0.31,0.28,,0.35,0.34,0.37,0.56,0.31,0.27,0.67
b_1,0.06,0.07,0.07,0.07,47.67,0.15,0.26,0.24,0.28,0.33,,0.28,0.56,0.4,0.4,0.74
a_1,0.04,0.07,,0.08,0.08,73.5,0.37,0.3,0.36,0.26,0.29,0.54,0.86,,0.39,
h_1,0.32,0.22,0.26,0.3,0.19,0.26,31.09,1.47,1.77,1.22,1.21,1.5,,1.41,1.18,3.37
g_1,0.15,0.45,0.21,0.3,0.25,0.31,0.74,34.09,1.27,1.73,1.33,2.05,2.11,1.21,1.3,
c_0,0.41,0.39,0.3,,0.25,0.22,1.57,1.61,18.0,2.02,2.76,2.66,3.32,1.76,1.61,3.12
d_0,0.32,,0.35,0.65,0.34,0.5,1.9,1.45,1.55,17.98,2.85,1.91,2.62,1.69,1.34,2.03
b_0,0.37,0.33,0.37,0.24,,0.34,2.03,1.46,1.96,1.71,20.55,1.32,4.01,3.65,1.52,2.42
f_0,,0.36,0.28,0.39,0.37,0.31,0.79,1.32,1.7,2.63,2.1,19.65,3.54,2.0,4.67,3.33
h_0,0.7,0.64,0.58,0.39,0.57,0.56,,3.11,2.64,3.42,2.6,2.93,,1.51,2.6,6.82
a_0,0.34,0.34,0.44,0.4,0.24,,1.34,1.47,2.14,1.26,1.13,1.59,2.7,32.15,2.35,2.45
e_0,0.43,0.35,,0.27,0.26,0.43,1.77,1.76,2.29,2.8,2.06,1.16,2.75,,30.54,2.44
g_0,0.51,0.8,0.54,0.49,0.5,0.51,1.61,,3.57,2.28,3.79,4.84,3.27,2.28,2.99,
