,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.73,0.86,1.02,0.78,0.87,0.48,0.6,0.38,0.36,0.32,0.4,0.42,0.33,,0.38
f_1,1.37,1.0,0.98,1.19,0.97,0.85,0.34,0.45,0.45,0.37,0.39,,0.27,0.31,0.3,0.31
d_1,1.16,1.02,1.0,0.75,0.83,0.69,0.58,,0.47,0.65,0.49,0.33,0.39,0.27,0.37,0.27
c_1,0.98,0.84,1.34,1.0,1.23,0.81,0.58,0.34,0.51,,0.4,0.42,0.43,0.36,0.29,0.24
b_1,1.28,1.03,1.21,0.81,1.0,1.12,0.55,0.56,0.43,0.41,,0.48,0.38,0.34,0.34,0.36
a_1,1.15,1.18,1.45,1.23,0.89,1.0,0.81,0.67,0.59,0.58,0.73,0.48,0.56,,,0.52
h_1,2.1,2.94,1.74,1.74,1.83,1.23,1.0,0.9,0.89,0.75,0.96,0.77,,0.74,0.48,0.66
d_0,1.66,2.21,,2.96,1.78,1.5,1.11,1.0,0.94,1.04,0.96,0.93,0.86,0.59,0.77,0.83
g_1,2.67,2.21,2.14,1.97,2.34,1.71,1.12,1.06,1.0,0.85,0.85,1.17,0.74,0.73,0.61,
c_0,2.75,2.73,1.54,,2.46,1.73,1.34,0.96,1.18,1.0,1.28,0.88,0.77,0.69,0.92,0.71
b_0,3.11,2.58,2.05,2.48,,1.37,1.05,1.04,1.18,0.78,1.0,0.88,0.96,1.37,0.88,0.89
f_0,2.5,,3.02,2.35,2.1,2.07,1.3,1.08,0.86,1.14,1.13,1.0,0.79,0.99,,0.65
h_0,2.37,3.66,2.57,2.32,2.61,1.8,,1.17,1.36,1.31,1.04,1.27,,0.67,0.93,1.13
a_0,3.02,3.24,3.74,2.78,2.92,,1.34,1.68,1.38,1.44,0.73,1.01,1.5,1.0,,1.02
e_0,,3.28,2.73,3.4,2.97,,2.09,1.29,1.64,1.08,1.13,,1.08,,1.0,1.17
g_0,2.63,3.22,3.73,4.13,2.79,1.93,1.52,1.21,,1.41,1.12,1.53,0.88,0.98,0.86,
