,f_1,d_1,e_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,0.9,1.36,0.96,0.97,0.67,0.72,0.64,0.73,0.65,0.73,,0.38,0.55,0.45,0.6
d_1,1.11,1.0,0.83,0.91,0.85,0.81,0.95,,0.59,0.99,0.57,0.54,0.65,0.59,0.54,0.48
e_1,0.73,1.21,1.0,0.84,1.0,0.97,0.59,0.97,0.68,0.63,0.63,0.58,0.67,0.5,,0.69
c_1,1.04,1.1,1.19,1.0,1.47,1.12,0.6,0.42,0.9,,0.57,0.7,0.66,0.59,0.48,0.57
b_1,1.04,1.18,1.0,0.68,1.0,1.15,0.97,0.68,0.55,0.69,,0.58,0.72,0.58,,0.6
a_1,1.5,1.24,1.03,0.89,0.87,1.0,0.89,0.82,0.8,0.77,0.76,0.64,0.71,,,0.51
h_1,1.39,1.05,1.7,1.66,1.03,1.13,1.0,0.9,1.03,1.05,0.85,0.9,,0.8,0.84,0.97
d_0,1.57,,1.03,2.37,1.47,1.22,1.11,1.0,0.8,0.89,0.95,0.78,0.88,0.95,0.8,1.03
g_1,1.37,1.71,1.47,1.12,1.81,1.25,0.97,1.25,1.0,0.94,1.01,1.04,0.71,0.94,0.98,
c_0,1.55,1.01,1.58,,1.45,1.3,0.95,1.12,1.06,1.0,1.54,1.02,1.04,0.77,0.7,0.84
b_0,1.36,1.76,1.59,1.77,,1.32,1.17,1.06,0.99,0.65,1.0,0.93,0.99,1.32,1.25,0.74
f_0,,1.85,1.73,1.43,1.72,1.57,1.11,1.28,0.96,0.98,1.07,1.0,0.92,1.08,0.97,0.65
h_0,2.64,1.54,1.5,1.52,1.39,1.4,,1.14,1.42,0.96,1.01,1.09,,0.64,0.89,1.15
a_0,1.81,1.7,1.99,1.7,1.72,,1.25,1.05,1.06,1.29,0.76,0.92,1.56,1.0,,0.97
e_0,2.23,1.85,,2.07,,,1.19,1.25,1.02,1.44,0.8,1.03,1.12,,1.0,0.99
g_0,1.65,2.07,1.45,1.75,1.67,1.95,1.03,0.97,,1.19,1.35,1.55,0.87,1.03,1.01,
