,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
d_1,1.53,0.84,0.74,0.62,0.61,0.55,0.91,0.72,1.44,0.61,0.94,0.85,0.85,0.88,0.85,0.89
f_1,0.73,1.52,1.14,0.73,0.63,0.6,0.7,0.82,0.7,0.78,0.74,0.52,0.68,0.88,0.49,0.76
e_1,0.69,0.71,1.55,0.96,0.71,0.58,0.93,0.73,0.92,1.48,0.92,0.9,0.76,0.81,0.57,0.9
c_1,0.78,0.72,0.62,1.56,1.2,0.53,0.95,0.77,0.56,0.7,0.79,0.84,0.75,1.01,0.76,0.82
b_1,0.79,0.86,0.72,0.65,1.6,1.02,0.79,0.84,0.74,0.95,0.54,0.86,0.67,1.03,0.8,0.97
a_1,0.98,0.89,0.74,0.87,0.63,1.77,0.91,1.03,1.03,0.84,0.86,0.92,0.49,1.19,0.76,0.82
h_1,1.04,1.25,0.9,0.9,0.94,0.72,1.77,1.29,1.01,0.95,1.16,1.11,0.95,0.96,1.13,1.41
g_1,1.39,0.86,1.11,0.93,0.88,0.68,1.04,1.83,1.21,0.98,1.21,1.6,0.97,0.99,1.14,0.77
c_0,0.94,1.2,1.02,0.84,0.89,0.85,1.37,1.16,1.64,1.38,1.86,1.16,1.37,1.17,1.1,1.17
d_0,0.73,0.98,0.83,1.77,0.91,0.82,1.23,1.04,0.95,1.69,1.12,1.26,0.93,1.26,1.01,1.31
b_0,0.98,1.24,0.97,1.15,0.78,0.67,1.28,1.13,1.11,1.36,1.74,1.42,1.85,1.43,1.28,1.51
f_0,1.23,0.9,0.95,1.1,1.02,0.81,1.3,0.98,1.27,1.12,1.19,1.69,1.08,1.36,1.74,1.18
a_0,1.06,1.2,1.05,1.19,1.08,0.69,1.3,1.16,1.16,1.24,0.95,1.37,1.76,1.54,1.12,1.39
h_0,1.18,1.42,1.17,0.94,0.95,0.66,0.99,1.54,1.41,1.31,1.11,1.02,1.09,0.98,1.06,1.39
e_0,1.12,1.39,0.85,1.05,0.98,0.9,1.42,1.25,1.25,1.22,1.13,1.08,1.46,1.44,1.77,1.31
g_0,1.45,1.06,0.95,1.18,0.87,0.89,1.27,1.04,1.39,1.11,1.07,1.63,1.05,1.16,1.22,1.19
