,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,16.0,0.74,0.38,0.72,0.48,0.54,0.92,1.93,0.84,0.8,1.01,0.91,0.79,1.04,0.63,1.04
f_1,1.21,15.46,0.5,0.57,0.48,0.57,0.67,0.89,0.83,0.87,0.86,0.36,0.86,0.76,0.68,0.76
d_1,0.48,0.64,18.38,0.39,0.68,0.58,0.91,0.38,0.93,2.28,1.1,1.0,1.2,0.97,1.14,0.93
c_1,0.46,0.45,0.64,17.69,1.1,0.49,0.86,0.81,0.85,0.39,0.68,1.1,1.1,0.91,1.0,0.81
b_1,0.49,0.46,0.67,0.59,20.66,1.21,0.78,0.79,0.78,0.8,0.39,0.86,0.79,0.72,0.93,1.02
a_1,0.5,0.55,0.72,0.59,0.57,28.89,0.94,1.04,0.99,0.82,1.1,0.96,1.02,0.47,0.79,0.97
h_1,0.72,1.35,0.77,0.58,0.5,0.62,5.13,0.99,1.46,0.89,1.3,1.17,0.77,1.39,0.97,1.68
d_0,0.81,0.78,0.34,2.05,0.57,0.69,1.18,2.66,1.02,0.74,1.17,1.16,1.12,0.82,1.12,1.29
g_1,0.56,0.58,1.29,0.65,0.84,0.62,1.19,1.08,6.14,0.97,1.04,2.29,1.22,1.24,1.07,0.68
c_0,0.75,0.85,0.92,0.42,0.52,0.6,1.33,1.09,1.03,3.57,2.93,1.42,1.25,1.46,1.36,1.31
b_0,0.74,0.95,0.83,0.9,0.32,0.6,1.19,1.23,1.19,1.03,3.07,1.25,1.47,3.34,1.32,1.38
f_0,0.63,0.42,1.05,0.75,0.83,0.63,1.73,1.04,1.21,1.06,1.63,3.81,1.17,1.45,3.21,1.5
h_0,0.51,1.11,0.75,0.69,0.82,0.74,0.69,1.06,1.53,1.27,1.4,1.37,0.76,1.18,1.23,1.65
a_0,0.66,0.84,0.98,0.79,0.52,0.56,1.51,1.11,1.43,1.29,1.3,1.14,1.62,4.7,1.64,1.23
e_0,0.34,0.91,0.76,0.91,0.69,0.77,1.92,1.23,1.16,1.21,1.48,1.21,1.77,1.35,4.45,1.55
g_0,0.53,0.46,1.4,0.9,0.69,0.7,1.37,0.89,0.48,1.08,1.5,2.48,1.16,1.01,1.39,1.0
