,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,g_0,a_0,e_0
e_1,0.94,0.28,0.27,0.3,0.27,0.17,0.24,0.16,0.29,0.13,0.17,0.14,0.16,0.13,0.1,0.08
f_1,0.47,0.94,0.24,0.26,0.22,0.18,0.18,0.17,0.2,0.21,0.16,0.08,0.13,0.12,0.09,0.11
d_1,0.32,0.33,0.94,0.23,0.27,0.16,0.19,0.15,0.12,0.29,0.17,0.16,0.18,0.12,0.13,0.11
c_1,0.3,0.3,0.34,0.93,0.38,0.19,0.22,0.17,0.16,0.09,0.1,0.14,0.19,0.15,0.12,0.1
b_1,0.28,0.35,0.29,0.27,0.93,0.3,0.17,0.17,0.19,0.23,0.1,0.18,0.21,0.15,0.11,0.12
a_1,0.37,0.36,0.3,0.34,0.28,0.93,0.25,0.21,0.23,0.15,0.2,0.18,0.18,0.17,0.07,0.11
h_1,0.47,0.68,0.57,0.48,0.54,0.3,0.72,0.33,0.33,0.27,0.31,0.35,0.17,0.31,0.25,0.24
g_1,0.53,0.58,0.77,0.6,0.42,0.32,0.39,0.73,0.3,0.27,0.27,0.44,0.29,0.19,0.26,0.24
d_0,0.52,0.63,0.29,0.89,0.57,0.36,0.39,0.37,0.61,0.27,0.28,0.39,0.35,0.29,0.23,0.26
c_0,0.74,0.58,0.56,0.4,0.35,0.44,0.5,0.45,0.44,0.62,0.65,0.39,0.32,0.4,0.26,0.19
b_0,0.61,0.66,0.63,0.86,0.3,0.36,0.51,0.38,0.44,0.25,0.61,0.31,0.38,0.34,0.4,0.27
f_0,0.59,0.5,0.68,0.66,0.52,0.4,0.38,0.36,0.38,0.36,0.39,0.6,0.41,0.36,0.3,0.47
h_0,0.61,1.0,0.6,0.59,0.5,0.44,0.31,0.43,0.42,0.37,0.33,0.29,0.22,0.39,0.28,0.25
g_0,0.61,0.68,1.04,0.62,0.6,0.42,0.43,0.21,0.36,0.29,0.38,0.44,0.35,0.23,0.24,0.23
a_0,0.76,0.8,0.67,0.75,0.55,0.42,0.47,0.39,0.46,0.5,0.38,0.37,0.47,0.41,0.58,0.24
e_0,0.42,0.75,0.68,0.82,0.65,0.54,0.51,0.41,0.44,0.49,0.4,0.37,0.41,0.37,0.31,0.59
