,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
d_1,0.43,1.41,1.37,1.17,1.02,1.01,0.32,0.21,0.22,0.36,0.23,0.22,0.15,0.2,0.2,0.1
e_1,1.31,0.43,0.67,1.38,1.34,1.1,0.38,0.4,0.25,0.25,0.25,0.35,0.18,0.23,0.38,0.21
f_1,1.1,1.16,0.42,1.29,1.13,0.99,0.26,0.52,0.24,0.24,0.23,0.32,0.12,0.24,0.23,0.19
c_1,1.6,1.06,1.28,0.39,1.29,1.18,0.36,0.34,0.38,0.15,0.28,0.28,0.17,0.23,0.25,0.21
b_1,1.42,1.27,1.56,0.74,0.37,1.56,0.38,0.41,0.34,0.3,0.51,0.29,0.21,0.35,0.31,0.23
a_1,1.76,1.49,2.01,1.48,0.85,0.32,0.48,0.48,0.37,0.38,0.48,0.27,0.32,0.53,0.32,0.26
h_1,1.87,2.18,2.78,2.04,1.79,1.73,0.31,0.6,0.48,0.5,0.43,0.37,0.44,0.35,0.36,0.3
g_1,2.19,2.39,2.7,2.45,2.37,2.16,0.51,0.28,0.5,0.46,0.49,0.4,0.26,0.43,0.47,0.37
c_0,1.38,2.59,2.39,4.37,2.63,2.56,0.74,0.66,0.32,0.75,0.47,0.44,0.33,0.4,0.47,0.31
d_0,3.55,1.45,2.42,2.73,3.01,2.17,0.78,0.89,0.52,0.33,0.54,0.58,0.42,0.5,0.57,0.44
b_0,1.78,2.57,2.5,3.77,3.56,2.75,0.7,0.76,0.3,0.68,0.31,0.49,0.45,0.48,0.51,0.38
f_0,2.28,2.18,4.12,2.49,2.81,2.49,0.8,0.49,0.5,0.56,0.57,0.3,0.42,0.51,0.53,0.27
h_0,2.89,2.69,2.91,3.15,3.28,2.32,1.11,0.84,0.6,0.59,0.56,0.52,0.55,0.53,0.53,0.49
a_0,2.55,2.78,3.18,3.79,4.78,4.29,1.0,0.75,0.51,0.67,0.32,0.61,0.39,0.3,0.59,0.38
e_0,2.75,3.93,4.26,3.93,2.59,2.3,0.79,0.69,0.62,0.6,0.66,0.3,0.52,0.68,0.29,0.41
g_0,2.79,3.15,4.24,3.16,3.21,2.75,0.7,1.15,0.66,0.69,0.63,0.67,0.38,0.64,0.62,0.49
