,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,1.0,0.72,0.74,0.7,0.72,1.06,0.69,0.99,0.67,0.66,0.71,0.62,0.65,0.68,0.57,
f_1,1.38,1.0,0.95,0.95,1.02,0.86,0.73,0.63,0.58,0.74,0.48,,0.58,0.48,0.6,0.33
d_1,1.35,1.05,1.0,0.84,0.85,1.02,0.73,,0.51,0.99,0.6,0.63,0.67,0.56,0.41,0.58
c_1,1.42,1.05,1.19,1.0,1.3,0.76,0.74,0.49,0.79,,0.63,0.58,0.58,0.61,0.42,0.53
b_1,1.39,0.98,1.17,0.77,1.0,1.19,0.87,0.54,0.84,0.53,,0.72,,1.02,0.49,0.78
a_1,0.94,1.16,0.98,1.31,0.84,1.0,0.87,0.87,0.84,0.65,0.71,0.6,,0.75,1.06,
h_1,1.45,1.36,1.37,1.34,1.15,1.15,1.0,0.8,1.13,1.11,0.86,0.88,0.81,,0.73,0.98
d_0,1.01,1.6,,2.04,1.84,1.15,1.25,1.0,1.22,0.87,0.98,0.91,0.68,0.84,0.93,0.74
g_1,1.5,1.72,1.97,1.27,1.19,1.19,0.89,0.82,1.0,1.01,1.09,1.62,,0.61,,1.04
c_0,1.52,1.35,1.01,,1.9,1.54,0.9,1.16,0.99,1.0,1.16,1.16,0.81,1.07,1.2,0.73
b_0,1.4,2.08,1.68,1.57,,1.42,1.17,1.02,0.92,0.86,1.0,1.03,1.32,0.89,0.73,0.97
f_0,1.62,,1.6,1.72,1.38,1.67,1.13,1.1,0.62,0.86,0.98,1.0,1.24,1.07,0.75,1.27
a_0,1.54,1.73,1.48,1.73,,,1.23,1.46,,1.24,0.76,0.81,1.0,1.06,1.37,
h_0,1.47,2.09,1.79,1.64,0.98,1.33,,1.19,1.64,0.93,1.12,0.94,0.94,,1.2,1.06
g_0,1.76,1.67,2.43,2.37,2.04,0.94,1.37,1.08,,0.83,1.36,1.34,0.73,0.83,,0.7
e_0,,3.04,1.71,1.88,1.29,,1.02,1.34,0.96,1.36,1.03,0.79,,0.95,1.43,1.0
