,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,a_0,h_0,e_0,g_0
f_1,1.0,1.54,1.14,1.33,1.37,3.22,14.59,28.13,45.06,28.46,,41.98,69.54,79.55,74.82,142.78
e_1,0.65,1.0,0.98,1.65,2.08,3.83,15.45,39.55,32.01,35.94,44.28,42.41,68.36,98.16,,125.76
d_1,0.88,1.02,1.0,1.19,1.16,3.04,11.52,,17.91,53.16,32.71,32.43,62.76,62.63,77.48,81.6
c_1,0.75,0.61,0.84,1.0,1.84,2.66,14.66,19.59,21.99,,29.39,29.22,79.1,62.53,74.77,108.45
b_1,0.73,0.48,0.86,0.54,1.0,3.33,9.79,22.26,20.65,20.61,34.5,,53.99,52.9,59.06,78.48
a_1,0.31,0.26,0.33,0.38,0.3,1.0,5.37,9.71,7.49,10.95,10.52,15.9,,20.25,22.52,34.26
h_1,0.07,0.06,0.09,0.07,0.1,0.19,1.0,1.69,1.99,1.82,1.99,2.25,4.68,,4.4,8.9
d_0,0.04,0.03,,0.05,0.04,0.1,0.59,1.0,0.99,1.4,1.44,1.17,2.96,3.02,3.29,4.09
g_1,0.02,0.03,0.06,0.05,0.05,0.13,0.5,1.01,1.0,0.89,1.33,1.94,2.54,2.66,2.65,
c_0,0.04,0.03,0.02,,0.05,0.09,0.55,0.71,1.12,1.0,1.41,1.82,3.21,2.97,2.27,4.23
f_0,,0.02,0.03,0.03,0.03,0.1,0.5,0.69,0.75,0.71,1.0,1.15,1.75,2.17,2.28,2.05
b_0,0.02,0.02,0.03,0.03,,0.06,0.44,0.85,0.51,0.55,0.87,1.0,3.46,1.87,1.99,2.5
a_0,0.01,0.01,0.02,0.01,0.02,,0.21,0.34,0.39,0.31,0.57,0.29,1.0,,,1.37
h_0,0.01,0.01,0.02,0.02,0.02,0.05,,0.33,0.38,0.34,0.46,0.54,,,1.11,1.4
e_0,0.01,,0.01,0.01,0.02,0.04,0.23,0.3,0.38,0.44,0.44,0.5,,0.9,1.0,
g_0,0.01,0.01,0.01,0.01,0.01,0.03,0.11,0.24,,0.24,0.49,0.4,0.73,0.72,,
